k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
11	10	11	3.2273	0.26431	0.263434	1	0.181818		11	10	21	13.5285	0.471335	0.467835	1	0.047619		11	10	41	50.3785	0.970062	0.956311	1	0.0731707		11	1	11	0.222044	0.048077	0.048091	0.454545	0.454545		11	1	21	0.25077	0.102325	0.102344	0.428571	0.428571		11	1	41	0.56399	0.208475	0.208474	0.658537	0.658537		11	3	11	0.418453	0.093949	0.093773	0.727273	0.727273		11	3	21	1.37047	0.191413	0.190654	0.190476	0.047619		11	3	41	4.68736	0.452359	0.449233	0.097561	0.0487805		11	5	11	0.951488	0.125069	0.124717	0.454545	0.363636		11	5	21	3.51676	0.258889	0.257365	0.0952381	0		11	5	41	12.9796	0.579216	0.573012	0.0731707	0.0731707		11	7	11	1.92868	0.167221	0.166677	0.454545	0.636364		11	7	21	7.57718	0.343596	0.341315	0.142857	0.047619		11	7	41	23.3091	0.702887	0.693676	0.170732	0.0487805		11	9	11	2.81938	0.233179	0.232423	0.818182	0.636364		11	9	21	11.5199	0.417971	0.414927	0.0952381	0		11	9	41	40.2389	0.911657	0.899402	0.170732	0.121951
12	10	11	3.32002	0.292213	0.291309	1	0.181818		12	10	21	13.7156	0.507071	0.50346	1	0		12	10	41	51.0307	1.07907	1.06458	1	0.146341		12	1	11	0.248545	0.059169	0.059175	0.454545	0.454545		12	1	21	0.271504	0.100861	0.10088	0.428571	0.428571		12	1	41	0.598657	0.218734	0.218739	0.658537	0.658537		12	3	11	0.442895	0.099974	0.099789	0.727273	0.636364		12	3	21	1.40475	0.204154	0.203358	0.190476	0		12	3	41	4.92088	0.482888	0.479614	0.097561	0.0487805		12	5	11	0.981907	0.135396	0.135039	0.545455	0.363636		12	5	21	3.66929	0.281944	0.280387	0.0952381	0		12	5	41	13.1559	0.615802	0.609334	0.0731707	0.097561		12	7	11	2.06932	0.180029	0.179469	0.545455	0.545455		12	7	21	7.67327	0.370238	0.367849	0.0952381	0.0952381		12	7	41	23.6154	0.716237	0.706813	0.121951	0.0487805		12	9	11	2.88474	0.257993	0.257197	0.818182	0.636364		12	9	21	11.6699	0.431317	0.42822	0.0952381	0.0952381		12	9	41	40.7093	0.982165	0.969276	0.170732	0.170732
13	10	11	3.4405	0.318462	0.317539	1	0.0909091		13	10	21	14.1033	0.572045	0.568382	1	0		13	10	41	51.9433	1.18712	1.17219	1	0.170732		13	1	11	0.257161	0.056904	0.056917	0.454545	0.454545		13	1	21	0.285375	0.11731	0.117328	0.428571	0.428571		13	1	41	0.638854	0.243276	0.243358	0.658537	0.658537		13	3	11	0.462894	0.124927	0.124726	0.818182	0.818182		13	3	21	1.5013	0.235151	0.234325	0.285714	0.047619		13	3	41	5.09209	0.539449	0.536082	0.097561	0.0243902		13	5	11	1.02771	0.150928	0.150564	0.545455	0.363636		13	5	21	3.73606	0.311954	0.310277	0.0952381	0.047619		13	5	41	13.8323	0.689623	0.683016	0.121951	0.097561		13	7	11	2.13913	0.201461	0.200878	0.636364	0.454545		13	7	21	7.82323	0.422768	0.420307	0.142857	0.0952381		13	7	41	24.0657	0.834915	0.825047	0.146341	0.0243902		13	9	11	3.1153	0.28676	0.285936	0.818182	0.636364		13	9	21	11.8887	0.513984	0.510791	0.0952381	0.047619		13	9	41	41.7727	1.08839	1.07529	0.268293	0.170732
14	10	11	3.53824	0.321682	0.320724	1	0		14	10	21	14.4297	0.615554	0.611739	1	0.047619		14	10	41	53.0198	1.28512	1.2698	1	0.170732		14	1	11	0.352334	0.065384	0.065397	0.454545	0.454545		14	1	21	0.424147	0.1202	0.120224	0.428571	0.428571		14	1	41	0.683419	0.25631	0.256332	0.658537	0.658537		14	3	11	0.48318	0.143271	0.143061	0.818182	0.909091		14	3	21	1.55872	0.24296	0.242133	0.285714	0.0952381		14	3	41	5.19803	0.572272	0.568813	0.121951	0.0487805		14	5	11	1.05679	0.161358	0.160947	0.636364	0.545455		14	5	21	3.84384	0.348091	0.34643	0.0952381	0		14	5	41	14.1759	0.759231	0.752301	0.121951	0.170732		14	7	11	2.18913	0.218245	0.217627	0.545455	0.454545		14	7	21	8.06419	0.472727	0.47009	0.142857	0.142857		14	7	41	24.7997	0.869558	0.859194	0.146341	0.0731707		14	9	11	3.18359	0.300564	0.299731	0.727273	0.636364		14	9	21	12.4118	0.550761	0.547402	0.142857	0.0952381		14	9	41	42.5463	1.19505	1.1817	0.268293	0.195122
15	10	11	3.61955	0.363933	0.362975	1	0		15	10	21	14.808	0.728085	0.723961	1	0.047619		15	10	41	54.3394	1.48081	1.46498	1	0.195122		15	1	11	0.361594	0.073888	0.073899	0.454545	0.454545		15	1	21	0.442521	0.135154	0.135177	0.428571	0.428571		15	1	41	0.779314	0.271444	0.271474	0.658537	0.658537		15	3	11	0.509523	0.134235	0.134025	0.818182	0.909091		15	3	21	1.66294	0.277822	0.276944	0.285714	0.285714		15	3	41	5.37557	0.63628	0.632653	0.097561	0.0731707		15	5	11	1.21817	0.172694	0.172289	0.636364	0.636364		15	5	21	3.99136	0.379221	0.377505	0.0952381	0.0952381		15	5	41	14.5123	0.830995	0.824018	0.121951	0.146341		15	7	11	2.23998	0.239624	0.23898	0.636364	0.636364		15	7	21	8.32991	0.518929	0.51627	0.190476	0.142857		15	7	41	25.4939	0.983583	0.973046	0.146341	0.0731707		15	9	11	3.26718	0.323891	0.323028	0.818182	0.636364		15	9	21	12.62	0.617183	0.613681	0.0952381	0.0952381		15	9	41	43.8984	1.14561	1.1318	0.243902	0.170732
16	10	11	3.71293	0.382149	0.381072	1	0		16	10	21	15.1872	0.783558	0.779323	1	0.047619		16	10	41	59.8927	1.55418	1.53691	1	0.219512		16	1	11	0.373763	0.075121	0.075132	0.454545	0.454545		16	1	21	0.457862	0.153797	0.153818	0.428571	0.428571		16	1	41	0.806888	0.291745	0.291757	0.658537	0.658537		16	3	11	0.532202	0.142635	0.142381	0.818182	0.909091		16	3	21	1.71703	0.29314	0.292221	0.333333	0.333333		16	3	41	5.69739	0.672176	0.668373	0.097561	0.121951		16	5	11	1.26309	0.183382	0.182952	0.727273	0.636364		16	5	21	4.16879	0.375715	0.373801	0.142857	0.142857		16	5	41	15.2075	0.87758	0.869908	0.146341	0.170732		16	7	11	2.30267	0.25068	0.250008	0.636364	0.272727		16	7	21	8.52979	0.575316	0.572185	0.0952381	0.190476		16	7	41	27.1223	1.05998	1.04862	0.146341	0.0731707		16	9	11	3.3547	0.356843	0.355909	0.727273	0.636364		16	9	21	15.0493	0.648375	0.644438	0.0952381	0.142857		16	9	41	45.6395	1.21791	1.20246	0.268293	0.170732
17	10	11	3.82963	0.418045	0.417008	1	0		17	10	21	15.5765	0.845999	0.841831	1	0.0952381		17	10	41	61.4538	1.66724	1.65045	1	0.317073		17	1	11	0.384299	0.088753	0.088769	0.454545	0.454545		17	1	21	0.475927	0.167883	0.167887	0.428571	0.428571		17	1	41	0.842821	0.335307	0.335332	0.658537	0.658537		17	3	11	0.559257	0.15843	0.158199	0.909091	0.909091		17	3	21	1.76092	0.325237	0.324311	0.285714	0.333333		17	3	41	5.8668	0.706166	0.702394	0.097561	0.097561		17	5	11	1.30624	0.227062	0.226594	0.727273	0.727273		17	5	21	4.3752	0.499704	0.497864	0.0952381	0.142857		17	5	41	15.6173	1.00044	0.992992	0.170732	0.146341		17	7	11	2.37395	0.27655	0.27587	0.636364	0.454545		17	7	21	9.09821	0.631153	0.628261	0.0952381	0.190476		17	7	41	27.9549	1.12975	1.11835	0.146341	0.0487805		17	9	11	3.47959	0.394479	0.39355	0.727273	0.636364		17	9	21	15.3692	0.733775	0.730101	0.047619	0.142857		17	9	41	47.6615	1.34917	1.33453	0.268293	0.268293
18	10	11	3.94234	0.459151	0.457996	1	0		18	10	21	15.8004	0.83716	0.832682	1	0.047619		18	10	41	62.223	1.747	1.72889	1	0.341463		18	1	11	0.392804	0.088103	0.08811	0.454545	0.454545		18	1	21	0.490226	0.179578	0.179589	0.428571	0.428571		18	1	41	0.895212	0.340973	0.341072	0.634146	0.634146		18	3	11	0.614017	0.162935	0.162697	0.909091	0.909091		18	3	21	1.94888	0.341143	0.340121	0.380952	0.333333		18	3	41	6.23732	0.760098	0.756213	0.097561	0.121951		18	5	11	1.34224	0.225559	0.225094	0.636364	0.727273		18	5	21	4.43354	0.447034	0.44508	0.142857	0.142857		18	5	41	16.0727	1.04446	1.03641	0.195122	0.121951		18	7	11	2.43376	0.298381	0.297652	0.818182	0.454545		18	7	21	9.26302	0.657121	0.654098	0.142857	0.142857		18	7	41	28.4335	1.14661	1.13444	0.170732	0.0731707		18	9	11	3.57895	0.427049	0.42601	0.727273	0.636364		18	9	21	15.5787	0.704379	0.700362	0.047619	0.0952381		18	9	41	48.2378	1.36705	1.35117	0.292683	0.219512
19	10	11	4.05835	0.533318	0.532135	1	0		19	10	21	16.2885	0.911582	0.907035	1	0.0952381		19	10	41	63.9464	1.96025	1.93648	1	0.390244		19	1	11	0.487992	0.089604	0.089621	0.454545	0.454545		19	1	21	0.501895	0.181714	0.181731	0.428571	0.428571		19	1	41	0.935011	0.364204	0.364212	0.658537	0.658537		19	3	11	0.648721	0.187474	0.187209	0.818182	1		19	3	21	2.05635	0.369886	0.368863	0.47619	0.380952		19	3	41	6.50745	0.785681	0.781705	0.0487805	0.121951		19	5	11	1.39075	0.224182	0.223831	0.636364	0.727273		19	5	21	4.60141	0.556625	0.554551	0.0952381	0.142857		19	5	41	16.3619	1.0728	1.06449	0.195122	0.121951		19	7	11	2.55564	0.313148	0.312401	0.909091	0.727273		19	7	21	9.45904	0.732217	0.728874	0.047619	0.142857		19	7	41	29.0473	1.24392	1.23164	0.195122	0.097561		19	9	11	3.68259	0.463588	0.462524	0.636364	0.636364		19	9	21	15.9084	0.834929	0.830826	0.0952381	0.142857		19	9	41	49.618	1.59645	1.5802	0.268293	0.219512
20	10	11	4.52899	0.525962	0.524761	1	0		20	10	21	17.0489	0.951626	0.946894	1	0.238095		20	10	41	65.3365	2.07795	2.0588	1	0.390244		20	1	11	0.495981	0.091446	0.091472	0.545455	0.545455		20	1	21	0.511673	0.184222	0.184248	0.428571	0.428571		20	1	41	1.03104	0.393759	0.393758	0.682927	0.682927		20	3	11	0.684301	0.189501	0.189235	0.818182	1		20	3	21	2.10109	0.385519	0.384465	0.47619	0.333333		20	3	41	6.72542	0.845412	0.841099	0.0731707	0.121951		20	5	11	1.45328	0.236315	0.235805	0.636364	0.727273		20	5	21	5.10422	0.522183	0.520071	0.047619	0.142857		20	5	41	17.0093	1.14353	1.13512	0.170732	0.121951		20	7	11	2.63756	0.327437	0.32668	0.909091	0.727273		20	7	21	9.62047	0.747438	0.744162	0.047619	0.142857		20	7	41	29.8357	1.28734	1.2745	0.170732	0.097561		20	9	11	3.81555	0.488714	0.48763	0.636364	0.636364		20	9	21	16.2704	0.87476	0.870527	0.0952381	0.142857		20	9	41	50.4781	1.61949	1.60249	0.292683	0.243902
