k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
35	10	21	27.1719	1.87323	1.88253	1	0.285714		35	1	21	1.87156	0.342982	0.344664	0.428571	0.428571		35	2	21	2.03477	0.477376	0.479928	0.761905	0.809524		35	3	21	3.92538	0.65215	0.655627	0.904762	0.857143		35	4	21	5.68836	0.652647	0.65689	0.857143	0.904762		35	5	21	8.15836	1.02499	1.03022	0.142857	0.238095		35	6	21	13.5809	1.15855	1.16457	0.285714	0.142857		35	7	21	15.2631	1.38111	1.38814	0.238095	0.190476		35	8	21	20.7151	1.53636	1.544	0.142857	0.142857		35	9	21	25.2636	1.73275	1.74121	0.142857	0.333333
36	10	21	27.9462	1.95033	1.96011	1	0.333333		36	1	21	1.88945	0.340582	0.34229	0.428571	0.428571		36	2	21	2.06966	0.500569	0.503153	0.761905	0.809524		36	3	21	3.99967	0.699691	0.703208	0.904762	0.857143		36	4	21	5.84265	0.714242	0.718581	0.857143	0.904762		36	5	21	8.45931	1.05498	1.06021	0.142857	0.142857		36	6	21	13.7949	1.16138	1.16745	0.333333	0.047619		36	7	21	16.3401	1.39467	1.40163	0.238095	0.190476		36	8	21	21.039	1.58913	1.59707	0.142857	0.190476		36	9	21	26.1508	1.77472	1.7836	0.190476	0.428571
37	10	21	28.4715	1.97135	1.98112	1	0.238095		37	1	21	1.90131	0.345572	0.347341	0.428571	0.428571		37	2	21	2.16071	0.522921	0.525541	0.761905	0.809524		37	3	21	4.11587	0.704781	0.708296	0.952381	0.857143		37	4	21	6.22994	0.784838	0.789322	0.857143	0.904762		37	5	21	8.64614	1.09814	1.10356	0.142857	0.142857		37	6	21	14.1304	1.19897	1.2052	0.285714	0.0952381		37	7	21	16.7164	1.44723	1.45432	0.238095	0.142857		37	8	21	21.592	1.64167	1.64963	0.190476	0.190476		37	9	21	26.8426	1.80481	1.8137	0.190476	0.333333
38	10	21	29.3682	2.0063	2.01618	1	0.238095		38	1	21	2.10183	0.367097	0.368873	0.428571	0.428571		38	2	21	2.19748	0.554906	0.55751	0.809524	0.857143		38	3	21	4.24661	0.721735	0.725364	0.952381	0.904762		38	4	21	6.31544	0.789661	0.794228	0.857143	0.904762		38	5	21	8.89929	1.1101	1.11555	0.142857	0.142857		38	6	21	14.3344	1.28273	1.28917	0.285714	0.0952381		38	7	21	17.2244	1.47713	1.48437	0.238095	0.190476		38	8	21	22.0806	1.71808	1.72633	0.190476	0.238095		38	9	21	28.1755	1.86415	1.87335	0.238095	0.333333
39	10	21	32.3771	2.05655	2.06659	1	0.285714		39	1	21	2.30642	0.373874	0.375685	0.428571	0.428571		39	2	21	2.72598	0.568748	0.571469	0.809524	0.857143		39	3	21	4.35576	0.746442	0.750115	0.952381	0.904762		39	4	21	6.51838	0.765337	0.76997	0.857143	0.904762		39	5	21	9.1489	1.19471	1.20029	0.142857	0.0952381		39	6	21	14.5468	1.32461	1.33104	0.285714	0.0952381		39	7	21	17.7925	1.552	1.55942	0.238095	0.142857		39	8	21	23.1621	1.74919	1.75763	0.142857	0.190476		39	9	21	28.6702	1.90177	1.91106	0.238095	0.380952
40	10	21	32.9909	2.09097	2.10112	1	0.285714		40	1	21	2.31605	0.382391	0.38423	0.428571	0.428571		40	2	21	2.74032	0.578204	0.580964	0.809524	0.857143		40	3	21	5.32063	0.752357	0.756066	0.952381	0.904762		40	4	21	6.73781	0.810562	0.81523	0.857143	0.904762		40	5	21	9.58228	1.18335	1.18898	0.142857	0.0952381		40	6	21	15.2021	1.34632	1.35297	0.285714	0.0952381		40	7	21	18.1023	1.60945	1.61705	0.238095	0.047619		40	8	21	23.9327	1.7774	1.78589	0.142857	0.238095		40	9	21	29.4711	1.96347	1.97282	0.238095	0.380952
41	10	21	34.4162	2.21635	2.2268	1	0.380952		41	1	21	2.52178	0.391936	0.393824	0.428571	0.428571		41	2	21	2.75319	0.591397	0.594188	0.809524	0.904762		41	3	21	5.46665	0.780902	0.784708	0.952381	0.904762		41	4	21	6.92112	0.914809	0.919646	0.857143	0.904762		41	5	21	9.77869	1.21355	1.21929	0.190476	0.142857		41	6	21	18.0637	1.36317	1.36996	0.380952	0.0952381		41	7	21	18.4496	1.6358	1.64343	0.238095	0.047619		41	8	21	24.3475	1.8348	1.84336	0.238095	0.285714		41	9	21	29.9801	2.00052	2.01016	0.190476	0.428571
42	10	21	34.9928	2.27788	2.28848	1	0.47619		42	1	21	2.53249	0.386819	0.388705	0.428571	0.428571		42	2	21	3.28196	0.587652	0.59045	0.809524	0.904762		42	3	21	5.51624	0.81814	0.82203	0.952381	0.904762		42	4	21	7.06134	0.938517	0.943355	0.857143	0.904762		42	5	21	10.0945	1.2882	1.29408	0.238095	0.142857		42	6	21	18.6971	1.39422	1.40102	0.380952	0.0952381		42	7	21	18.9041	1.62437	1.63218	0.238095	0.142857		42	8	21	24.813	1.87012	1.87886	0.190476	0.285714		42	9	21	31.1174	2.03334	2.04304	0.238095	0.333333
43	10	21	35.7091	2.19545	2.20601	1	0.428571		43	1	21	2.54684	0.427827	0.429737	0.47619	0.47619		43	2	21	3.81421	0.626292	0.62919	0.809524	0.904762		43	3	21	5.70436	0.833906	0.837794	0.952381	0.904762		43	4	21	7.27616	0.913153	0.918072	0.857143	0.904762		43	5	21	11.172	1.25849	1.26433	0.285714	0.190476		43	6	21	18.966	1.41395	1.42079	0.428571	0.142857		43	7	21	19.3613	1.73655	1.74463	0.238095	0.238095		43	8	21	26.1213	1.92658	1.93543	0.190476	0.285714		43	9	21	32.0636	2.12581	2.13561	0.285714	0.285714
44	10	21	36.2772	1.89641	1.90723	1	0.380952		44	1	21	2.56759	0.43392	0.435882	0.52381	0.52381		44	2	21	4.33922	0.629672	0.63256	0.809524	0.904762		44	3	21	5.78136	0.868162	0.872164	0.952381	0.904762		44	4	21	7.41346	0.885597	0.890547	0.857143	0.904762		44	5	21	11.4464	1.27205	1.27799	0.333333	0.238095		44	6	21	19.2941	1.47613	1.48301	0.428571	0.0952381		44	7	21	19.6948	1.70103	1.70902	0.238095	0.190476		44	8	21	26.734	1.94304	1.95211	0.285714	0.333333		44	9	21	32.424	2.13631	2.14637	0.285714	0.285714
45	10	21	37.8518	2.13583	2.14703	1	0.333333		45	1	21	2.7732	0.450038	0.452053	0.47619	0.47619		45	2	21	4.8629	0.638488	0.641415	0.809524	0.857143		45	3	21	5.945	0.894329	0.898384	0.952381	0.904762		45	4	21	7.63656	1.03308	1.03811	0.857143	0.904762		45	5	21	12.8986	1.34118	1.3473	0.333333	0.238095		45	6	21	19.6732	1.50137	1.50837	0.380952	0.142857		45	7	21	20.2734	1.75665	1.7648	0.238095	0.238095		45	8	21	28.0978	1.99273	2.00187	0.285714	0.47619		45	9	21	33.0743	2.18177	2.19189	0.285714	0.333333
46	10	21	39.5376	2.02529	2.03635	1	0.333333		46	1	21	2.97672	0.448688	0.450682	0.47619	0.47619		46	2	21	5.38665	0.656067	0.659088	0.809524	0.904762		46	3	21	6.18962	0.88785	0.891986	0.952381	0.904762		46	4	21	7.83105	1.00159	1.00674	0.904762	0.904762		46	5	21	13.0565	1.34986	1.356	0.238095	0.238095		46	6	21	20.4672	1.50952	1.51673	0.428571	0.142857		46	7	21	20.8483	1.79528	1.8035	0.190476	0.238095		46	8	21	28.4709	2.04899	2.05825	0.285714	0.47619		46	9	21	36.2498	2.23748	2.24786	0.285714	0.285714
47	10	21	40.8423	2.10092	2.11232	1	0.380952		47	1	21	3.18062	0.45405	0.456108	0.52381	0.52381		47	2	21	5.40555	0.669876	0.672921	0.809524	0.904762		47	3	21	6.36253	0.909523	0.913702	0.952381	0.904762		47	4	21	8.25475	1.07744	1.08269	0.857143	0.904762		47	5	21	13.2216	1.43656	1.44289	0.238095	0.190476		47	6	21	20.7085	1.60649	1.61397	0.428571	0.190476		47	7	21	21.5503	1.8684	1.87692	0.190476	0.142857		47	8	21	29.0675	2.06584	2.07523	0.333333	0.428571		47	9	21	36.8931	2.31961	2.33005	0.285714	0.285714
48	10	21	41.7172	2.38107	2.39264	1	0.380952		48	1	21	3.38339	0.464181	0.466241	0.52381	0.52381		48	2	21	5.93179	0.699901	0.703027	0.809524	0.857143		48	3	21	6.42783	0.927796	0.932041	0.952381	0.904762		48	4	21	8.38018	1.11374	1.11899	0.904762	0.904762		48	5	21	13.5834	1.4171	1.42341	0.238095	0.142857		48	6	21	21.0271	1.60517	1.61264	0.428571	0.190476		48	7	21	23.8451	1.9016	1.91011	0.190476	0.142857		48	8	21	29.7492	2.13235	2.14192	0.428571	0.428571		48	9	21	37.9461	2.31832	2.32891	0.238095	0.238095
49	10	21	42.3163	2.35694	2.36848	1	0.380952		49	1	21	3.58723	0.478382	0.480456	0.571429	0.571429		49	2	21	6.45444	0.713349	0.716528	0.809524	0.857143		49	3	21	6.64684	0.941795	0.946009	0.952381	0.904762		49	4	21	8.76187	1.09972	1.10511	0.904762	0.904762		49	5	21	13.8197	1.45903	1.46542	0.238095	0.190476		49	6	21	21.3278	1.65596	1.66342	0.428571	0.333333		49	7	21	24.2322	1.97234	1.9812	0.190476	0.142857		49	8	21	30.3949	2.19876	2.20843	0.380952	0.47619		49	9	21	38.618	2.33281	2.34353	0.333333	0.238095
50	10	21	45.7579	2.35666	2.36848	1	0.333333		50	1	21	3.59814	0.48058	0.482687	0.571429	0.571429		50	2	21	6.97857	0.733201	0.736399	0.809524	0.904762		50	3	21	6.71543	0.968604	0.973028	0.952381	0.904762		50	4	21	8.9886	1.11463	1.12001	0.904762	0.904762		50	5	21	14.2883	1.47237	1.47882	0.238095	0.238095		50	6	21	22.1806	1.66468	1.6722	0.428571	0.333333		50	7	21	24.9315	1.93695	1.94577	0.190476	0.238095		50	8	21	31.3413	2.19613	2.20593	0.380952	0.47619		50	9	21	39.7413	2.36292	2.37379	0.333333	0.238095
51	10	21	47.3027	2.53075	2.5428	1	0.333333		51	1	21	3.60989	0.489543	0.491661	0.619048	0.619048		51	2	21	7.50022	0.729621	0.732928	0.809524	0.904762		51	3	21	6.9774	0.99658	1.00094	0.952381	0.904762		51	4	21	9.25074	1.18085	1.18624	0.904762	0.904762		51	5	21	14.7282	1.52767	1.53431	0.238095	0.238095		51	6	21	23.9978	1.7259	1.73382	0.47619	0.285714		51	7	21	25.4271	2.00553	2.01427	0.190476	0.238095		51	8	21	34.5657	2.26845	2.2787	0.380952	0.47619		51	9	21	41.7751	2.40667	2.41754	0.333333	0.238095
52	10	21	48.457	2.48875	2.5009	1	0.333333		52	1	21	3.81453	0.508267	0.510481	0.571429	0.571429		52	2	21	8.0306	0.749028	0.752275	0.809524	0.904762		52	3	21	7.0274	0.9959	1.0003	0.952381	0.904762		52	4	21	9.46594	1.17741	1.18298	0.904762	0.904762		52	5	21	15.168	1.5553	1.56195	0.238095	0.190476		52	6	21	24.5657	1.75053	1.75865	0.47619	0.285714		52	7	21	25.8575	2.0421	2.05096	0.238095	0.190476		52	8	21	35.1941	2.31403	2.32401	0.380952	0.571429		52	9	21	42.331	2.46996	2.48115	0.333333	0.238095
53	10	21	49.0171	2.60528	2.61757	1	0.380952		53	1	21	4.01665	0.519442	0.521669	0.666667	0.666667		53	2	21	8.55329	0.76031	0.763576	0.809524	0.904762		53	3	21	7.1049	1.0256	1.03014	0.952381	0.904762		53	4	21	9.68064	1.19664	1.20227	0.904762	0.904762		53	5	21	15.3913	1.56027	1.56714	0.238095	0.238095		53	6	21	25.6944	1.78457	1.79236	0.47619	0.333333		53	7	21	27.0601	2.05946	2.06862	0.238095	0.190476		53	8	21	36.9805	2.33967	2.34971	0.428571	0.52381		53	9	21	43.4399	2.50788	2.51907	0.380952	0.238095
54	10	21	53.6174	2.64047	2.65287	1	0.428571		54	1	21	4.03065	0.52727	0.52949	0.666667	0.666667		54	2	21	8.57533	0.788957	0.792332	0.809524	0.857143		54	3	21	7.23122	1.03033	1.03489	0.952381	0.904762		54	4	21	9.83837	1.21903	1.22475	0.904762	0.904762		54	5	21	16.6964	1.59384	1.60059	0.238095	0.285714		54	6	21	26.1431	1.79855	1.80697	0.428571	0.380952		54	7	21	27.4817	2.12744	2.13652	0.238095	0.238095		54	8	21	37.3374	2.37024	2.38043	0.428571	0.666667		54	9	21	44.5396	2.54437	2.55567	0.47619	0.238095
55	10	21	59.0012	2.74191	2.75436	1	0.428571		55	1	21	4.23479	0.542396	0.544703	0.666667	0.666667		55	2	21	9.10373	0.793698	0.797111	0.809524	0.904762		55	3	21	7.34832	1.05918	1.06376	0.952381	0.904762		55	4	21	10.0729	1.27983	1.28559	0.904762	0.904762		55	5	21	16.9909	1.65982	1.66668	0.285714	0.142857		55	6	21	26.8966	1.86636	1.87471	0.47619	0.380952		55	7	21	27.9282	2.15901	2.16822	0.285714	0.238095		55	8	21	38.0972	2.45089	2.4613	0.428571	0.666667		55	9	21	45.7673	2.62693	2.63842	0.47619	0.285714
56	10	21	59.5144	2.90475	2.91766	1	0.52381		56	1	21	4.43622	0.535819	0.538087	0.666667	0.666667		56	2	21	9.12244	0.804943	0.808425	0.809524	0.904762		56	3	21	7.41015	1.07631	1.08101	0.952381	0.904762		56	4	21	10.6471	1.29637	1.30216	0.904762	0.904762		56	5	21	17.3529	1.71059	1.71764	0.285714	0.238095		56	6	21	27.2447	1.87777	1.88597	0.47619	0.380952		56	7	21	28.7013	2.17351	2.18277	0.285714	0.238095		56	8	21	40.4147	2.45236	2.46278	0.428571	0.619048		56	9	21	46.4838	2.65526	2.66694	0.571429	0.285714
57	10	21	60.8618	2.9321	2.94487	1	0.47619		57	1	21	4.6386	0.553047	0.555415	0.714286	0.714286		57	2	21	9.64955	0.821659	0.825193	0.857143	0.904762		57	3	21	7.53348	1.10674	1.11142	0.952381	0.904762		57	4	21	10.8008	1.31095	1.31688	0.904762	0.904762		57	5	21	17.6603	1.68203	1.68907	0.285714	0.285714		57	6	21	27.6798	1.91046	1.91872	0.47619	0.380952		57	7	21	29.4076	2.24545	2.25484	0.285714	0.190476		57	8	21	41.4077	2.48705	2.49774	0.47619	0.666667		57	9	21	48.1807	2.70665	2.71839	0.52381	0.238095
58	10	21	62.8002	2.99446	3.00771	1	0.47619		58	1	21	4.66144	0.558549	0.560927	0.714286	0.714286		58	2	21	10.1796	0.841076	0.844537	0.904762	0.904762		58	3	21	7.59234	1.12866	1.13342	0.952381	0.904762		58	4	21	10.9243	1.33531	1.34131	0.904762	0.904762		58	5	21	17.8533	1.73687	1.74412	0.380952	0.238095		58	6	21	29.9516	1.92967	1.93808	0.47619	0.380952		58	7	21	30.2263	2.25747	2.26712	0.333333	0.285714		58	8	21	41.769	2.58252	2.59331	0.47619	0.666667		58	9	21	48.9302	2.74997	2.76199	0.52381	0.238095
59	10	21	63.6183	3.0569	3.07027	1	0.52381		59	1	21	4.86218	0.584731	0.58715	0.666667	0.666667		59	2	21	10.7102	0.85397	0.857527	0.904762	0.904762		59	3	21	7.70692	1.15179	1.15661	0.952381	0.904762		59	4	21	11.3071	1.37617	1.38226	0.904762	0.904762		59	5	21	18.0704	1.77855	1.78589	0.333333	0.285714		59	6	21	30.3549	1.97872	1.98718	0.52381	0.571429		59	7	21	31.9065	2.32381	2.33344	0.428571	0.238095		59	8	21	42.7829	2.59236	2.6032	0.47619	0.619048		59	9	21	50.0011	2.80822	2.82039	0.571429	0.238095
60	10	21	64.2934	3.09443	3.10772	1	0.52381		60	1	21	5.06619	0.575769	0.578179	0.666667	0.666667		60	2	21	11.2394	0.855909	0.859485	0.904762	0.904762		60	3	21	7.78507	1.17057	1.17548	0.952381	0.904762		60	4	21	11.6014	1.36442	1.37057	0.904762	0.904762		60	5	21	18.9375	1.77767	1.78503	0.380952	0.190476		60	6	21	30.8917	1.99289	2.00138	0.47619	0.52381		60	7	21	32.4876	2.3188	2.32871	0.428571	0.190476		60	8	21	43.8951	2.60063	2.61156	0.47619	0.571429		60	9	21	50.7401	2.8725	2.88481	0.571429	0.238095
61	10	21	66.6072	3.15833	3.17196	1	0.428571		61	1	21	5.26967	0.611828	0.614339	0.619048	0.619048		61	2	21	11.7621	0.878188	0.881848	0.904762	0.904762		61	3	21	7.82446	1.22183	1.22684	0.952381	0.904762		61	4	21	11.8812	1.32868	1.3348	0.904762	0.904762		61	5	21	19.2638	1.80982	1.8173	0.380952	0.285714		61	6	21	31.1506	2.04304	2.05163	0.47619	0.47619		61	7	21	32.8955	2.38287	2.39269	0.47619	0.142857		61	8	21	44.7377	2.62358	2.63456	0.47619	0.52381		61	9	21	51.3659	2.96756	2.97993	0.571429	0.238095
62	10	21	68.028	3.24403	3.25774	1	0.428571		62	1	21	5.47173	0.624383	0.626887	0.714286	0.714286		62	2	21	12.2847	0.890827	0.894521	0.904762	0.904762		62	3	21	7.84063	1.23014	1.23509	0.952381	0.904762		62	4	21	12.1794	1.41154	1.41781	0.904762	0.904762		62	5	21	20.1923	1.8376	1.8451	0.333333	0.333333		62	6	21	34.1892	2.08295	2.09172	0.47619	0.428571		62	7	21	33.7903	2.37918	2.38895	0.47619	0.0952381		62	8	21	45.4074	2.64334	2.6546	0.52381	0.52381		62	9	21	53.3885	3.04623	3.05886	0.571429	0.428571
63	10	21	69.422	3.27681	3.29068	1	0.47619		63	1	21	5.67603	0.638976	0.641502	0.714286	0.714286		63	2	21	12.3235	0.915577	0.919334	0.904762	0.904762		63	3	21	7.86134	1.2263	1.23125	0.952381	0.904762		63	4	21	12.4248	1.46695	1.4733	0.904762	0.904762		63	5	21	20.5788	1.88822	1.89581	0.333333	0.333333		63	6	21	34.9718	2.09208	2.10091	0.47619	0.428571		63	7	21	37.789	2.38359	2.39359	0.428571	0.142857		63	8	21	46.793	2.72297	2.73429	0.571429	0.619048		63	9	21	55.0799	3.09751	3.1103	0.571429	0.428571
64	10	21	70.6181	3.3316	3.34571	1	0.47619		64	1	21	5.87625	0.642125	0.644644	0.714286	0.714286		64	2	21	12.3725	0.919507	0.923256	0.904762	0.904762		64	3	21	7.87958	1.26251	1.26766	0.952381	0.904762		64	4	21	13.9405	1.48349	1.48994	0.904762	0.904762		64	5	21	21.3565	1.89016	1.89783	0.333333	0.380952		64	6	21	35.9769	2.12121	2.13005	0.571429	0.428571		64	7	21	38.0462	2.45314	2.46332	0.47619	0.238095		64	8	21	48.0763	2.74582	2.75749	0.52381	0.571429		64	9	21	55.8738	3.08483	3.09761	0.52381	0.52381
65	10	21	73.7182	3.35713	3.3713	1	0.428571		65	1	21	6.08047	0.652402	0.654996	0.666667	0.666667		65	2	21	12.4295	0.933956	0.937809	0.904762	0.904762		65	3	21	7.97109	1.28144	1.28652	0.952381	0.904762		65	4	21	14.0311	1.47799	1.48424	0.904762	0.904762		65	5	21	21.6817	1.88504	1.89273	0.333333	0.333333		65	6	21	38.0424	2.17831	2.18725	0.571429	0.47619		65	7	21	39.446	2.45875	2.46879	0.428571	0.238095		65	8	21	48.4924	2.80017	2.81168	0.52381	0.619048		65	9	21	56.5611	3.19771	3.21052	0.52381	0.47619
66	10	21	74.2848	3.41546	3.4297	1	0.619048		66	1	21	6.28197	0.68674	0.689455	0.666667	0.666667		66	2	21	12.9521	0.947795	0.951716	0.904762	0.904762		66	3	21	8.92625	1.28217	1.28738	0.952381	0.904762		66	4	21	14.2354	1.52246	1.52904	0.904762	0.904762		66	5	21	21.996	1.94438	1.95234	0.333333	0.47619		66	6	21	38.2522	2.19813	2.20725	0.571429	0.428571		66	7	21	40.7781	2.50341	2.51391	0.428571	0.238095		66	8	21	50.6528	2.84651	2.85829	0.52381	0.52381		66	9	21	57.3011	3.20157	3.21458	0.619048	0.47619
67	10	21	78.4855	3.50636	3.52083	1	0.666667		67	1	21	6.48488	0.66813	0.670864	0.761905	0.761905		67	2	21	13.4779	0.9598	0.963875	0.904762	0.904762		67	3	21	9.00962	1.33026	1.33561	0.952381	0.904762		67	4	21	15.1438	1.59808	1.60471	0.904762	0.904762		67	5	21	22.4517	2.01828	2.0264	0.285714	0.428571		67	6	21	39.1344	2.24405	2.25327	0.571429	0.380952		67	7	21	41.2911	2.56391	2.57458	0.47619	0.380952		67	8	21	52.535	2.88635	2.89812	0.571429	0.52381		67	9	21	59.531	3.22424	3.23751	0.619048	0.52381
68	10	21	80.4849	3.60782	3.62253	1	0.666667		68	1	21	6.68879	0.685768	0.688534	0.761905	0.761905		68	2	21	13.9981	0.975948	0.979964	0.904762	0.904762		68	3	21	9.96538	1.34079	1.34621	0.952381	0.904762		68	4	21	15.53	1.62009	1.6268	0.904762	0.904762		68	5	21	22.8581	1.98824	1.99632	0.380952	0.47619		68	6	21	39.4128	2.25741	2.26682	0.571429	0.333333		68	7	21	41.7045	2.58147	2.59206	0.428571	0.333333		68	8	21	57.5139	2.93019	2.94225	0.571429	0.619048		68	9	21	60.7875	3.31319	3.32671	0.666667	0.52381
69	10	21	81.3894	3.64581	3.66082	1	0.666667		69	1	21	6.89204	0.682619	0.685314	0.714286	0.714286		69	2	21	14.5189	0.991089	0.995127	0.904762	0.904762		69	3	21	10.925	1.35718	1.36258	0.952381	0.904762		69	4	21	15.7651	1.63239	1.63911	0.904762	0.904762		69	5	21	23.5072	2.04261	2.05087	0.380952	0.47619		69	6	21	40.469	2.29404	2.30348	0.619048	0.380952		69	7	21	43.9634	2.60523	2.61601	0.47619	0.285714		69	8	21	58.4767	2.96782	2.98041	0.571429	0.666667		69	9	21	63.6436	3.39445	3.40792	0.761905	0.52381
70	10	21	83.0739	3.68181	3.69704	1	0.619048		70	1	21	7.09476	0.695081	0.697821	0.761905	0.761905		70	2	21	14.5749	1.00518	1.00925	0.904762	0.904762		70	3	21	11.8922	1.39353	1.39908	0.952381	0.904762		70	4	21	15.992	1.65285	1.65969	0.904762	0.904762		70	5	21	23.7794	2.05778	2.06613	0.380952	0.571429		70	6	21	41.0919	2.32377	2.33319	0.619048	0.428571		70	7	21	44.8945	2.6869	2.69794	0.47619	0.333333		70	8	21	58.899	3.01002	3.02245	0.571429	0.666667		70	9	21	64.5313	3.3585	3.37244	0.761905	0.52381
71	10	21	89.7284	3.77613	3.79129	1	0.666667		71	1	21	7.29933	0.720568	0.723437	0.761905	0.761905		71	2	21	14.5992	1.02662	1.03086	0.857143	0.904762		71	3	21	12.8566	1.3826	1.38808	0.952381	0.904762		71	4	21	16.1659	1.69425	1.70123	0.904762	0.904762		71	5	21	23.9939	2.09557	2.10392	0.380952	0.619048		71	6	21	41.4755	2.34759	2.35711	0.619048	0.428571		71	7	21	45.5904	2.756	2.76694	0.47619	0.47619		71	8	21	60.7515	3.12672	3.13918	0.571429	0.619048		71	9	21	65.6335	3.49138	3.50545	0.761905	0.47619
72	10	21	90.7797	3.78859	3.80396	1	0.714286		72	1	21	7.50391	0.72823	0.731454	0.761905	0.761905		72	2	21	15.1253	1.02668	1.03091	0.904762	0.904762		72	3	21	12.8818	1.41478	1.4203	0.952381	0.952381		72	4	21	16.4469	1.72108	1.72813	0.904762	0.904762		72	5	21	24.3193	2.11865	2.12707	0.380952	0.666667		72	6	21	43.8304	2.40046	2.41017	0.666667	0.47619		72	7	21	46.9178	2.76127	2.77306	0.571429	0.47619		72	8	21	61.6704	3.19592	3.2086	0.571429	0.619048		72	9	21	66.4503	3.49095	3.50507	0.761905	0.52381
73	10	21	91.7586	3.82823	3.84374	1	0.761905		73	1	21	7.70841	0.742607	0.745468	0.761905	0.761905		73	2	21	15.6472	1.04082	1.04496	0.904762	0.904762		73	3	21	13.845	1.4212	1.42682	0.952381	0.952381		73	4	21	16.5598	1.7381	1.74521	0.904762	0.904762		73	5	21	24.7299	2.20119	2.20972	0.380952	0.52381		73	6	21	44.4501	2.37901	2.38893	0.666667	0.47619		73	7	21	47.4093	2.73025	2.74143	0.52381	0.47619		73	8	21	62.2832	3.26621	3.27891	0.571429	0.619048		73	9	21	69.0225	3.58237	3.59655	0.761905	0.52381
74	10	21	96.1246	3.88625	3.90193	1	0.857143		74	1	21	7.91227	0.75016	0.753172	0.761905	0.761905		74	2	21	16.1731	1.06515	1.06937	0.904762	0.904762		74	3	21	13.8838	1.43442	1.44008	0.952381	0.952381		74	4	21	16.6744	1.75784	1.76506	0.904762	0.904762		74	5	21	24.9915	2.16796	2.17658	0.380952	0.571429		74	6	21	44.7938	2.3821	2.39205	0.666667	0.52381		74	7	21	48.0594	2.78795	2.79925	0.52381	0.47619		74	8	21	64.9718	3.22955	3.24256	0.571429	0.47619		74	9	21	72.7984	3.57377	3.58817	0.809524	0.571429
75	10	21	99.3714	4.01388	4.02966	1	0.857143		75	1	21	8.11742	0.74035	0.743284	0.761905	0.761905		75	2	21	16.7023	1.08683	1.0913	0.904762	0.904762		75	3	21	14.8466	1.4559	1.46169	0.952381	0.952381		75	4	21	17.0005	1.78629	1.79347	0.904762	0.904762		75	5	21	26.3773	2.21238	2.22106	0.380952	0.571429		75	6	21	46.0894	2.46891	2.47908	0.666667	0.571429		75	7	21	48.6665	2.83044	2.8417	0.47619	0.428571		75	8	21	66.1927	3.3573	3.37048	0.52381	0.571429		75	9	21	73.503	3.7294	3.74393	0.904762	0.619048
76	10	21	100.632	4.02219	4.03806	1	0.904762		76	1	21	8.3228	0.76152	0.764418	0.761905	0.761905		76	2	21	17.2254	1.08864	1.09309	0.904762	0.904762		76	3	21	15.8042	1.4749	1.48066	0.952381	0.952381		76	4	21	17.2955	1.82033	1.82761	0.904762	0.904762		76	5	21	26.6282	2.26302	2.27181	0.380952	0.52381		76	6	21	46.68	2.38483	2.39483	0.666667	0.666667		76	7	21	50.5514	2.85237	2.86385	0.571429	0.47619		76	8	21	66.8235	3.33857	3.35154	0.52381	0.47619		76	9	21	75.5504	3.704	3.71865	0.904762	0.571429
77	10	21	103.033	4.04375	4.06015	1	0.904762		77	1	21	8.52806	0.770815	0.77382	0.714286	0.714286		77	2	21	17.7519	1.09923	1.10355	0.904762	0.904762		77	3	21	15.8326	1.52902	1.53493	0.952381	0.952381		77	4	21	17.7054	1.83844	1.84582	0.904762	0.904762		77	5	21	26.9836	2.25861	2.26741	0.380952	0.619048		77	6	21	47.2385	2.47003	2.48029	0.666667	0.619048		77	7	21	51.0845	2.92751	2.93914	0.619048	0.52381		77	8	21	67.8094	3.37039	3.3838	0.52381	0.52381		77	9	21	76.7767	3.80731	3.82338	0.904762	0.666667
78	10	21	103.837	4.1465	4.16291	1	0.904762		78	1	21	8.73189	0.781205	0.784283	0.714286	0.714286		78	2	21	17.846	1.11245	1.11683	0.904762	0.904762		78	3	21	15.9775	1.55852	1.56447	0.952381	0.952381		78	4	21	17.785	1.91911	1.9267	0.904762	0.904762		78	5	21	28.1785	2.31691	2.32591	0.380952	0.619048		78	6	21	49.5927	2.58189	2.59221	0.666667	0.666667		78	7	21	52.0202	2.95453	2.96645	0.52381	0.47619		78	8	21	70.4686	3.44691	3.46024	0.714286	0.619048		78	9	21	78.1497	3.81216	3.82708	0.904762	0.857143
