k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
11	10	21	13.6666	0.471186	0.476166	1	0.047619		11	1	21	0.252539	0.090085	0.091005	0.428571	0.428571		11	2	21	0.646274	0.128133	0.129504	0.761905	0.761905		11	3	21	1.25811	0.176796	0.178635	0.190476	0.047619		11	4	21	2.24656	0.208028	0.210335	0.714286	0.666667		11	5	21	3.55058	0.291562	0.294349	0.0952381	0		11	6	21	6.31143	0.28121	0.28434	0.190476	0.190476		11	7	21	7.81901	0.348378	0.352154	0.142857	0.047619		11	8	21	9.61368	0.396663	0.401191	0.0952381	0		11	9	21	10.7131	0.501115	0.505755	0.0952381	0
12	10	21	13.8535	0.53638	0.541736	1	0		12	1	21	0.272859	0.108594	0.109581	0.428571	0.428571		12	2	21	0.675939	0.137636	0.139056	0.809524	0.809524		12	3	21	1.29132	0.193701	0.19564	0.190476	0		12	4	21	2.29977	0.218316	0.220697	0.761905	0.761905		12	5	21	3.7034	0.299682	0.302593	0.0952381	0		12	6	21	6.47232	0.307546	0.310834	0.238095	0.190476		12	7	21	7.91446	0.392221	0.396075	0.0952381	0.0952381		12	8	21	9.7379	0.411758	0.41599	0.0952381	0		12	9	21	10.8634	0.505351	0.510149	0.0952381	0.0952381
13	10	21	14.2401	0.699784	0.705289	1	0		13	1	21	0.286609	0.107577	0.108557	0.428571	0.428571		13	2	21	0.720377	0.150556	0.152018	0.714286	0.761905		13	3	21	1.38393	0.211002	0.213017	0.285714	0.047619		13	4	21	2.35274	0.228898	0.231272	0.809524	0.809524		13	5	21	3.77006	0.342039	0.345006	0.0952381	0.047619		13	6	21	6.57218	0.333354	0.336696	0.238095	0.047619		13	7	21	8.06357	0.436255	0.440184	0.142857	0.0952381		13	8	21	10.0541	0.437311	0.441632	0.0952381	0		13	9	21	11.0843	0.545372	0.550294	0.0952381	0.047619
14	10	21	14.5639	0.66267	0.668171	1	0.047619		14	1	21	0.425723	0.114337	0.115365	0.428571	0.428571		14	2	21	0.749299	0.159502	0.161024	0.761905	0.809524		14	3	21	1.43847	0.231197	0.233249	0.285714	0.0952381		14	4	21	2.42827	0.252212	0.254745	0.904762	0.761905		14	5	21	3.87817	0.361118	0.36424	0.0952381	0		14	6	21	6.78236	0.361909	0.365401	0.238095	0.047619		14	7	21	8.30357	0.45185	0.455936	0.142857	0.142857		14	8	21	10.227	0.485056	0.489587	0.190476	0		14	9	21	11.6137	0.593262	0.598428	0.142857	0.0952381
15	10	21	14.9457	0.714868	0.720495	1	0.047619		15	1	21	0.444049	0.12157	0.12261	0.428571	0.428571		15	2	21	0.813969	0.198886	0.200463	0.714286	0.761905		15	3	21	1.53695	0.26317	0.265283	0.285714	0.285714		15	4	21	2.58847	0.267003	0.269537	0.904762	0.809524		15	5	21	4.025	0.406934	0.410141	0.0952381	0.0952381		15	6	21	6.92675	0.411866	0.415459	0.190476	0.047619		15	7	21	8.56393	0.519866	0.524097	0.190476	0.142857		15	8	21	10.508	0.511321	0.516008	0.190476	0		15	9	21	11.8251	0.672496	0.677798	0.0952381	0.0952381
16	10	21	15.3253	0.771008	0.777218	1	0.047619		16	1	21	0.459344	0.140897	0.142051	0.428571	0.428571		16	2	21	0.841608	0.208382	0.21012	0.714286	0.761905		16	3	21	1.58817	0.262193	0.264476	0.333333	0.333333		16	4	21	2.78248	0.295837	0.29867	0.857143	0.904762		16	5	21	4.19937	0.430078	0.433572	0.142857	0.142857		16	6	21	7.12816	0.449315	0.453291	0.190476	0.142857		16	7	21	8.76333	0.547046	0.551663	0.0952381	0.190476		16	8	21	10.8434	0.525948	0.531043	0.238095	0		16	9	21	14.2701	0.714	0.719697	0.0952381	0.142857
17	10	21	15.7131	0.827682	0.83378	1	0.0952381		17	1	21	0.477389	0.151585	0.15271	0.428571	0.428571		17	2	21	0.877952	0.211609	0.213276	0.761905	0.857143		17	3	21	1.63014	0.301375	0.303609	0.285714	0.333333		17	4	21	2.8528	0.301993	0.304757	0.857143	0.904762		17	5	21	4.40587	0.479016	0.482362	0.0952381	0.142857		17	6	21	7.24921	0.490994	0.494853	0.238095	0.190476		17	7	21	9.32415	0.611268	0.615873	0.0952381	0.190476		17	8	21	11.1637	0.577465	0.5825	0.190476	0		17	9	21	14.5908	0.777085	0.782816	0.047619	0.142857
18	10	21	15.9366	0.913157	0.919724	1	0.047619		18	1	21	0.491732	0.160709	0.161867	0.428571	0.428571		18	2	21	0.941765	0.243701	0.245549	0.761905	0.857143		18	3	21	1.81107	0.298237	0.300667	0.380952	0.333333		18	4	21	2.94296	0.316888	0.319887	0.857143	0.904762		18	5	21	4.46449	0.508159	0.511822	0.142857	0.142857		18	6	21	7.45037	0.517068	0.521211	0.238095	0.0952381		18	7	21	9.48716	0.674509	0.679385	0.142857	0.142857		18	8	21	11.3619	0.634462	0.639861	0.238095	0.0952381		18	9	21	14.8004	0.830577	0.836634	0.047619	0.0952381
19	10	21	16.4289	1.00876	1.01563	1	0.0952381		19	1	21	0.503292	0.170255	0.171467	0.428571	0.428571		19	2	21	0.972494	0.243019	0.24488	0.761905	0.857143		19	3	21	1.91845	0.32689	0.329341	0.47619	0.380952		19	4	21	3.06788	0.335874	0.338957	0.857143	0.904762		19	5	21	4.63266	0.584232	0.588001	0.0952381	0.142857		19	6	21	7.64572	0.590537	0.594897	0.238095	0.190476		19	7	21	9.68169	0.775432	0.780469	0.047619	0.142857		19	8	21	11.5698	0.668184	0.673775	0.238095	0.142857		19	9	21	15.1302	0.878235	0.884579	0.0952381	0.142857
20	10	21	17.1926	1.02233	1.02937	1	0.238095		20	1	21	0.513014	0.171517	0.172768	0.428571	0.428571		20	2	21	1.14459	0.272184	0.27413	0.761905	0.857143		20	3	21	1.96288	0.317302	0.319807	0.47619	0.333333		20	4	21	3.21391	0.361451	0.364572	0.857143	0.904762		20	5	21	5.13187	0.586725	0.590606	0.047619	0.142857		20	6	21	7.96775	0.656708	0.661288	0.238095	0.142857		20	7	21	9.84141	0.732637	0.737826	0.047619	0.142857		20	8	21	12.2192	0.745228	0.750987	0.238095	0.142857		20	9	21	15.4918	0.97329	0.979692	0.0952381	0.142857
21	10	21	17.5292	1.11503	1.12225	1	0.238095		21	1	21	0.52508	0.18525	0.186513	0.428571	0.428571		21	2	21	1.1886	0.262236	0.264161	0.761905	0.857143		21	3	21	2.05275	0.341177	0.343784	0.428571	0.333333		21	4	21	3.36381	0.37836	0.381618	0.857143	0.904762		21	5	21	5.44529	0.640771	0.64472	0.142857	0.238095		21	6	21	8.21989	0.637479	0.642023	0.238095	0.0952381		21	7	21	10.1431	0.783284	0.788648	0.0952381	0.190476		21	8	21	12.5609	0.815896	0.821823	0.142857	0.0952381		21	9	21	15.7278	1.02343	1.03001	0.0952381	0.190476
22	10	21	18.1128	1.1198	1.12712	1	0.190476		22	1	21	0.543198	0.171368	0.17263	0.428571	0.428571		22	2	21	1.25905	0.320229	0.322294	0.761905	0.857143		22	3	21	2.10209	0.372668	0.375316	0.52381	0.428571		22	4	21	3.42886	0.391353	0.394644	0.857143	0.904762		22	5	21	5.60106	0.639332	0.643378	0.190476	0.142857		22	6	21	8.39376	0.70318	0.707726	0.238095	0.047619		22	7	21	10.3322	0.805501	0.810932	0.047619	0.285714		22	8	21	12.714	0.798632	0.804667	0.0952381	0.190476		22	9	21	16.2282	1.06429	1.07106	0.142857	0.142857
23	10	21	18.4221	1.17558	1.18309	1	0.238095		23	1	21	0.557351	0.216337	0.217651	0.428571	0.428571		23	2	21	1.29423	0.308552	0.310713	0.761905	0.857143		23	3	21	2.19744	0.40377	0.406469	0.619048	0.619048		23	4	21	3.76606	0.420659	0.424065	0.857143	0.904762		23	5	21	5.82249	0.68376	0.687908	0.142857	0.285714		23	6	21	8.48684	0.69901	0.703647	0.238095	0.047619		23	7	21	10.9504	0.920613	0.926228	0.047619	0.285714		23	8	21	14.5668	0.920991	0.927162	0.142857	0.190476		23	9	21	16.977	1.12644	1.13335	0.142857	0.142857
