k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
1	10	11	0.191307	0.002219	0.001688	1	0.0909091		1	10	21	0.527606	0.005574	0.003348	1	0.047619		1	10	41	2.49455	0.016015	0.007061	1	0.0487805		1	1	11	0.00364666	0.000579	0.000598	0.0909091	0.0909091		1	1	21	0.0107265	0.001228	0.001261	0.0952381	0.0952381		1	1	41	0.0246686	0.003028	0.003083	0.097561	0.097561		1	3	11	0.021225	0.000945	0.000851	0.181818	0.454545		1	3	21	0.0535723	0.002184	0.001736	0	0.047619		1	3	41	0.181784	0.005807	0.003886	0.0243902	0.0243902		1	5	11	0.0532835	0.001348	0.001113	0.0909091	0.0909091		1	5	21	0.137269	0.00315	0.002192	0.047619	0.047619		1	5	41	0.511714	0.008805	0.004823	0.0487805	0.0487805		1	7	11	0.127093	0.001661	0.001309	0.272727	0.181818		1	7	21	0.264163	0.004173	0.002697	0.0952381	0.047619		1	7	41	0.993575	0.011604	0.005721	0.0243902	0		1	9	11	0.186925	0.002037	0.001546	0.636364	0.454545		1	9	21	0.434715	0.005116	0.00315	0.047619	0.047619		1	9	41	1.96902	0.014575	0.006565	0.0731707	0
2	10	11	0.207286	0.003382	0.002824	1	0.0909091		2	10	21	0.57159	0.007799	0.005442	1	0.0952381		2	10	41	2.6567	0.020536	0.011157	1	0.0731707		2	1	11	0.00626832	0.00081	0.00082	0.0909091	0.0909091		2	1	21	0.0131169	0.001649	0.001673	0.333333	0.333333		2	1	41	0.0290722	0.003801	0.003844	0.146341	0.146341		2	3	11	0.0251819	0.001331	0.001224	0.363636	0.454545		2	3	21	0.0604976	0.003051	0.002532	0.0952381	0.0952381		2	3	41	0.202889	0.007403	0.005401	0	0.0243902		2	5	11	0.0589461	0.001895	0.001674	0	0.0909091		2	5	21	0.152561	0.004385	0.00335	0	0.142857		2	5	41	0.558286	0.011202	0.007157	0	0.121951		2	7	11	0.135751	0.002497	0.00211	0.363636	0		2	7	21	0.290175	0.005742	0.004194	0	0.047619		2	7	41	1.07801	0.014934	0.008726	0.0487805	0.0243902		2	9	11	0.200604	0.003031	0.002535	0.636364	0.727273		2	9	21	0.472446	0.007084	0.004958	0.047619	0		2	9	41	2.10431	0.018627	0.010291	0.0731707	0.0243902
3	10	11	0.274997	0.004468	0.003856	1	0.0909091		3	10	21	0.908452	0.009991	0.007533	1	0.0952381		3	10	41	2.98733	0.025216	0.015341	1	0.0487805		3	1	11	0.00894298	0.000972	0.000988	0.0909091	0.0909091		3	1	21	0.0161954	0.002006	0.002054	0.333333	0.333333		3	1	41	0.0414258	0.00454	0.004613	0.268293	0.268293		3	3	11	0.0301329	0.001755	0.001634	0.363636	0.454545		3	3	21	0.0813839	0.003786	0.003275	0.0952381	0.142857		3	3	41	0.232934	0.009134	0.007019	0.0487805	0.0243902		3	5	11	0.0769466	0.0025	0.002248	0.0909091	0.0909091		3	5	21	0.324691	0.005552	0.004473	0.0952381	0.142857		3	5	41	0.721771	0.01371	0.009351	0.0243902	0.0487805		3	7	11	0.184698	0.003352	0.002958	0.363636	0.272727		3	7	21	0.515963	0.007333	0.005729	0	0.047619		3	7	41	1.24922	0.018262	0.011744	0.0243902	0.0487805		3	9	11	0.265879	0.004115	0.003594	0.636364	0.727273		3	9	21	0.66599	0.009125	0.006947	0.047619	0.0952381		3	9	41	2.35132	0.022862	0.014127	0.0731707	0.0243902
4	10	11	0.315313	0.005581	0.004961	1	0.0909091		4	10	21	1.18566	0.012176	0.009606	1	0.142857		4	10	41	3.81291	0.029693	0.019371	1	0.0243902		4	1	11	0.0104076	0.001167	0.001186	0.0909091	0.0909091		4	1	21	0.0197119	0.0024	0.002433	0.333333	0.333333		4	1	41	0.0459314	0.005353	0.005429	0.414634	0.414634		4	3	11	0.0348789	0.002171	0.002035	0.363636	0.636364		4	3	21	0.102355	0.004658	0.004097	0.0952381	0.0952381		4	3	41	0.477879	0.010899	0.008627	0.0243902	0.0243902		4	5	11	0.0865882	0.003186	0.002901	0.0909091	0.181818		4	5	21	0.376269	0.006814	0.005703	0.142857	0.142857		4	5	41	0.811172	0.016139	0.011591	0.0731707	0.097561		4	7	11	0.211787	0.004115	0.003736	0.363636	0.272727		4	7	21	0.609548	0.008941	0.007245	0	0.0952381		4	7	41	2.12676	0.021602	0.014713	0.0243902	0.0487805		4	9	11	0.305206	0.005087	0.004525	0.636364	0.727273		4	9	21	1.18968	0.011088	0.008824	0.0952381	0.0952381		4	9	41	3.16494	0.027075	0.017845	0.0487805	0
5	10	11	0.339476	0.006773	0.006119	1	0.181818		5	10	21	1.2756	0.014521	0.011776	1	0.142857		5	10	41	4.09581	0.034424	0.023559	1	0.097561		5	1	11	0.0131983	0.001413	0.001414	0.0909091	0.0909091		5	1	21	0.0238833	0.002785	0.002836	0.333333	0.333333		5	1	41	0.05942	0.006179	0.006231	0.512195	0.512195		5	3	11	0.0445948	0.002583	0.002456	0.454545	0.636364		5	3	21	0.122584	0.005421	0.00486	0.047619	0.0952381		5	3	41	0.524034	0.01252	0.010178	0.0487805	0.0243902		5	5	11	0.0999717	0.00371	0.003432	0.0909091	0.181818		5	5	21	0.4048	0.008082	0.006887	0.0952381	0.047619		5	5	41	0.951291	0.018677	0.013928	0.0487805	0.0487805		5	7	11	0.224713	0.004972	0.004549	0.181818	0.272727		5	7	21	0.656939	0.01063	0.008839	0	0.0952381		5	7	41	2.26292	0.025008	0.017881	0.0487805	0.0731707		5	9	11	0.327497	0.006136	0.005534	0.636364	0.727273		5	9	21	1.26664	0.013232	0.010834	0.0952381	0.238095		5	9	41	3.40081	0.031281	0.021634	0.097561	0.0243902
6	10	11	0.38134	0.007889	0.007191	1	0.181818		6	10	21	1.36429	0.016652	0.013845	1	0.142857		6	10	41	4.39426	0.03891	0.027632	1	0.0731707		6	1	11	0.015219	0.001595	0.001627	0.0909091	0.0909091		6	1	21	0.0315638	0.003211	0.003216	0.380952	0.380952		6	1	41	0.112846	0.006983	0.007025	0.512195	0.512195		6	3	11	0.0527948	0.003042	0.002908	0.454545	0.545455		6	3	21	0.141149	0.006207	0.005603	0.0952381	0.0952381		6	3	41	0.557972	0.01407	0.011649	0.0487805	0.0243902		6	5	11	0.112511	0.004434	0.004138	0	0.181818		6	5	21	0.43145	0.00919	0.007984	0	0		6	5	41	1.03335	0.021204	0.016199	0.097561	0.0487805		6	7	11	0.243943	0.00582	0.005363	0.272727	0.272727		6	7	21	0.717405	0.012109	0.010279	0	0.0952381		6	7	41	2.42995	0.028366	0.020855	0.0243902	0.097561		6	9	11	0.359603	0.00719	0.006586	0.545455	0.727273		6	9	21	1.34242	0.015173	0.012683	0.142857	0.142857		6	9	41	3.64485	0.035378	0.025434	0.0731707	0.0487805
7	10	11	0.440331	0.009099	0.008398	1	0.181818		7	10	21	1.67429	0.018829	0.015913	1	0.0952381		7	10	41	5.05242	0.043455	0.031748	1	0.097561		7	1	11	0.0179466	0.00179	0.001812	0.0909091	0.0909091		7	1	21	0.0345563	0.003547	0.003597	0.380952	0.380952		7	1	41	0.120392	0.007745	0.007774	0.463415	0.463415		7	3	11	0.0712978	0.003452	0.003314	0.454545	0.636364		7	3	21	0.155775	0.006954	0.006326	0.142857	0.142857		7	3	41	0.626017	0.015689	0.013162	0.0487805	0.0731707		7	5	11	0.135719	0.005046	0.004735	0	0.181818		7	5	21	0.47959	0.010415	0.009166	0	0.047619		7	5	41	1.13098	0.023695	0.018518	0.146341	0.0731707		7	7	11	0.312895	0.006516	0.006056	0.181818	0.272727		7	7	21	0.779663	0.013837	0.011901	0.0952381	0.0952381		7	7	41	2.69633	0.031554	0.023844	0.0487805	0.0731707		7	9	11	0.403802	0.008283	0.007649	0.636364	0.727273		7	9	21	1.51034	0.017192	0.014658	0.0952381	0.142857		7	9	41	4.32882	0.039498	0.029114	0.097561	0.121951
8	10	11	0.483844	0.010134	0.009414	1	0.181818		8	10	21	1.79547	0.021135	0.018107	1	0.0952381		8	10	41	5.62603	0.048193	0.036034	1	0.121951		8	1	11	0.0224293	0.002041	0.002061	0.0909091	0.0909091		8	1	21	0.0451628	0.003982	0.004021	0.380952	0.380952		8	1	41	0.129076	0.008506	0.008567	0.439024	0.439024		8	3	11	0.0771638	0.003863	0.003714	0.636364	0.727273		8	3	21	0.187348	0.007791	0.007171	0.238095	0.047619		8	3	41	0.716571	0.017348	0.014689	0.0487805	0.0731707		8	5	11	0.192974	0.005621	0.005307	0.0909091	0.181818		8	5	21	0.574114	0.011578	0.010276	0.047619	0.047619		8	5	41	1.57434	0.026093	0.020778	0.219512	0.097561		8	7	11	0.344577	0.007382	0.006908	0.363636	0.363636		8	7	21	0.916805	0.01542	0.01345	0.0952381	0.0952381		8	7	41	2.98605	0.034993	0.026933	0.097561	0.097561		8	9	11	0.44331	0.009291	0.008628	0.727273	0.727273		8	9	21	1.6099	0.019267	0.016561	0.0952381	0.0952381		8	9	41	4.71225	0.043573	0.032799	0.097561	0.146341
9	10	11	0.539681	0.011367	0.010562	1	0.181818		9	10	21	2.13308	0.023442	0.0203	1	0.142857		9	10	41	6.38207	0.052792	0.040264	1	0.146341		9	1	11	0.0238909	0.002187	0.002211	0.0909091	0.0909091		9	1	21	0.0500342	0.004377	0.004401	0.380952	0.380952		9	1	41	0.19149	0.009366	0.009462	0.414634	0.414634		9	3	11	0.0924507	0.00428	0.004126	0.818182	0.818182		9	3	21	0.207025	0.008584	0.007929	0.190476	0.047619		9	3	41	0.783204	0.019088	0.016395	0.0731707	0.0731707		9	5	11	0.22327	0.006283	0.005949	0.0909091	0.181818		9	5	21	0.64573	0.01278	0.011427	0.047619	0.0952381		9	5	41	1.93311	0.028603	0.023125	0.219512	0.0731707		9	7	11	0.369506	0.008248	0.007712	0.454545	0.363636		9	7	21	1.14613	0.017073	0.015043	0.142857	0.0952381		9	7	41	3.49346	0.038443	0.030075	0.121951	0.121951		9	9	11	0.496966	0.010408	0.009712	0.727273	0.727273		9	9	21	1.83943	0.021324	0.018563	0.142857	0.0952381		9	9	41	5.38565	0.048011	0.03675	0.0487805	0.170732
10	10	11	0.597023	0.012484	0.011664	1	0.0909091		10	10	21	2.28295	0.025567	0.022307	1	0.238095		10	10	41	6.81759	0.05742	0.044249	1	0.121951		10	1	11	0.112446	0.002389	0.002415	0.0909091	0.0909091		10	1	21	0.0560487	0.004747	0.004786	0.380952	0.380952		10	1	41	0.209249	0.010186	0.010259	0.463415	0.463415		10	3	11	0.114124	0.004695	0.00453	0.727273	0.818182		10	3	21	0.500657	0.009435	0.008746	0.238095	0.047619		10	3	41	0.886087	0.0207	0.017831	0.0731707	0.0487805		10	5	11	0.235649	0.006806	0.006482	0.181818	0.272727		10	5	21	0.69196	0.014027	0.012585	0	0.142857		10	5	41	2.03206	0.031134	0.025412	0.146341	0.0731707		10	7	11	0.415207	0.009087	0.008539	0.545455	0.454545		10	7	21	1.21601	0.018805	0.016687	0.142857	0.0952381		10	7	41	3.72096	0.041551	0.03283	0.097561	0.146341		10	9	11	0.540862	0.011447	0.010718	0.727273	0.727273		10	9	21	1.98863	0.023295	0.020424	0.190476	0.047619		10	9	41	5.744	0.052226	0.040513	0.0731707	0.146341
