k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
21	10	11	48.4274	0.024982	0.023784	1	0.363636		21	10	21	48.5852	0.050249	0.045634	1	0.190476		21	10	41	56.4268	0.110006	0.091125	1	0.219512		21	1	11	341.465	0.004484	0.004516	0.909091	0.909091		21	1	21	45.1703	0.009175	0.009246	0.52381	0.52381		21	1	41	72.6653	0.018922	0.019025	0.609756	0.609756		21	3	11	44.1521	0.009142	0.008922	1	0.818182		21	3	21	49.4587	0.018425	0.017402	0.571429	0.571429		21	3	41	68.5955	0.039278	0.035051	0.219512	0.317073		21	5	11	64.0241	0.013706	0.013198	0.454545	0.272727		21	5	21	50.3859	0.027582	0.025486	0.142857	0.190476		21	5	41	55.3798	0.058845	0.050598	0.195122	0.243902		21	7	11	62.7074	0.018468	0.017665	1	0.909091		21	7	21	55.07	0.036494	0.033425	0.380952	0.142857		21	7	41	74.2499	0.07918	0.066656	0.219512	0.243902		21	9	11	39.8776	0.024783	0.023578	0.727273	0.454545		21	9	21	54.7286	0.045674	0.041576	0.0952381	0.0952381		21	9	41	50.7473	0.098816	0.08226	0.268293	0.195122
22	10	11	51.2297	0.026201	0.024979	1	0.181818		22	10	21	69.7168	0.052403	0.047704	1	0.190476		22	10	41	60.0733	0.114775	0.095344	1	0.243902		22	1	11	402.99	0.004924	0.004958	0.909091	0.909091		22	1	21	47.8226	0.009565	0.009629	0.52381	0.52381		22	1	41	75.0935	0.019702	0.01982	0.634146	0.634146		22	3	11	47.2137	0.009553	0.009315	1	0.818182		22	3	21	55.2361	0.019164	0.018132	0.571429	0.571429		22	3	41	73.1801	0.040623	0.036611	0.195122	0.365854		22	5	11	67.1573	0.014234	0.013734	0.545455	0.272727		22	5	21	60.3713	0.028632	0.026591	0.142857	0.142857		22	5	41	57.925	0.061659	0.05324	0.195122	0.170732		22	7	11	64.7601	0.019409	0.018589	1	1		22	7	21	60.8233	0.038204	0.035061	0.380952	0.0952381		22	7	41	77.3684	0.082283	0.069473	0.268293	0.219512		22	9	11	51.2297	0.025885	0.024653	0.727273	0.454545		22	9	21	98.967	0.047748	0.043567	0.142857	0.142857		22	9	41	54.2882	0.103071	0.086208	0.317073	0.170732
23	10	11	57.3225	0.027371	0.026145	1	0.181818		23	10	21	73.0245	0.054979	0.050229	1	0.190476		23	10	41	62.8018	0.119127	0.099351	1	0.243902		23	1	11	464.551	0.004831	0.004864	0.909091	0.909091		23	1	21	109.27	0.009968	0.010021	0.52381	0.52381		23	1	41	78.037	0.020513	0.020645	0.634146	0.634146		23	3	11	48.7445	0.009951	0.009726	1	0.818182		23	3	21	58.8771	0.019982	0.018884	0.666667	0.619048		23	3	41	77.3137	0.042526	0.038341	0.195122	0.292683		23	5	11	70.7964	0.014961	0.014419	0.636364	0.181818		23	5	21	68.6613	0.030018	0.027832	0.190476	0.142857		23	5	41	61.965	0.064423	0.055929	0.170732	0.219512		23	7	11	70.8037	0.020273	0.01942	1	1		23	7	21	62.4296	0.039848	0.036604	0.428571	0.0952381		23	7	41	90.4517	0.085835	0.072655	0.268293	0.195122		23	9	11	57.5582	0.025799	0.024606	0.727273	0.454545		23	9	21	100.419	0.04995	0.045691	0.142857	0.142857		23	9	41	62.6167	0.107424	0.090001	0.292683	0.146341
24	10	11	63.9366	0.028697	0.027389	1	0.272727		24	10	21	76.8434	0.057151	0.052015	1	0.142857		24	10	41	66.7678	0.123645	0.103694	1	0.317073		24	1	11	526.088	0.00509	0.005117	0.909091	0.909091		24	1	21	170.69	0.01042	0.010501	0.52381	0.52381		24	1	41	86.0378	0.021355	0.021459	0.634146	0.634146		24	3	11	50.1162	0.010423	0.010173	1	0.909091		24	3	21	66.5093	0.02078	0.019681	0.714286	0.619048		24	3	41	80.7176	0.044172	0.039678	0.195122	0.292683		24	5	11	73.3003	0.015588	0.01505	0.545455	0.181818		24	5	21	71.1451	0.031313	0.02904	0.190476	0.142857		24	5	41	68.2378	0.066851	0.057689	0.170732	0.170732		24	7	11	82.0607	0.020833	0.019976	1	1		24	7	21	68.2368	0.041446	0.03808	0.333333	0.0952381		24	7	41	94.1844	0.08876	0.07551	0.219512	0.219512		24	9	11	59.9362	0.027693	0.026524	0.727273	0.454545		24	9	21	111.966	0.052152	0.047603	0.190476	0.047619		24	9	41	65.082	0.111348	0.09361	0.292683	0.170732
25	10	11	65.827	0.029671	0.028355	1	0.363636		25	10	21	79.0684	0.059537	0.054203	1	0.190476		25	10	41	71.8467	0.128247	0.10757	1	0.292683		25	1	11	587.679	0.005362	0.005394	0.909091	0.909091		25	1	21	232.135	0.010767	0.010833	0.47619	0.47619		25	1	41	87.8607	0.022062	0.022177	0.634146	0.634146		25	3	11	55.3198	0.011004	0.010753	1	0.909091		25	3	21	69.5514	0.021676	0.020541	0.666667	0.619048		25	3	41	87.1772	0.045996	0.041485	0.170732	0.268293		25	5	11	81.411	0.016254	0.015686	1	0.363636		25	5	21	75.9198	0.032513	0.030191	0.190476	0.142857		25	5	41	74.6123	0.069199	0.05993	0.219512	0.219512		25	7	11	88.6048	0.021687	0.020803	1	1		25	7	21	70.813	0.043125	0.039752	0.285714	0.142857		25	7	41	100.763	0.092317	0.078712	0.243902	0.268293		25	9	11	63.4903	0.029251	0.027924	0.727273	0.454545		25	9	21	113.735	0.054196	0.049515	0.238095	0.0952381		25	9	41	69.5292	0.115525	0.097429	0.341463	0.170732
26	10	11	79.621	0.030984	0.02958	1	0.181818		26	10	21	82.9901	0.061614	0.056242	1	0.190476		26	10	41	78.961	0.132631	0.111861	1	0.317073		26	1	11	649.116	0.005432	0.005464	0.909091	0.909091		26	1	21	293.566	0.011166	0.011229	0.52381	0.52381		26	1	41	98.491	0.022824	0.02293	0.634146	0.634146		26	3	11	63.484	0.011443	0.011182	1	0.909091		26	3	21	73.1313	0.022286	0.021182	0.809524	0.714286		26	3	41	92.7508	0.047575	0.042872	0.219512	0.268293		26	5	11	85.4745	0.016776	0.016218	0.909091	0.454545		26	5	21	77.4725	0.033548	0.031159	0.190476	0.0952381		26	5	41	82.82	0.07143	0.061985	0.170732	0.195122		26	7	11	91.5607	0.022535	0.021625	1	1		26	7	21	74.3159	0.045108	0.041524	0.380952	0.0952381		26	7	41	103.291	0.096344	0.081833	0.243902	0.268293		26	9	11	75.6939	0.030575	0.029224	0.727273	0.454545		26	9	21	119.106	0.056078	0.051352	0.285714	0.047619		26	9	41	82.0594	0.119799	0.101272	0.341463	0.195122
27	10	11	86.4119	0.032132	0.03075	1	0.272727		27	10	21	85.8002	0.063818	0.058342	1	0.190476		27	10	41	82.9184	0.137439	0.116459	1	0.341463		27	1	11	650.898	0.005633	0.005668	0.818182	0.818182		27	1	21	294.941	0.011554	0.011627	0.47619	0.47619		27	1	41	100.703	0.023711	0.02385	0.609756	0.609756		27	3	11	65.6904	0.011795	0.011521	1	0.909091		27	3	21	84.5234	0.023104	0.021964	0.809524	0.714286		27	3	41	101.445	0.049271	0.044446	0.170732	0.268293		27	5	11	89.3588	0.017405	0.016836	0.909091	0.545455		27	5	21	88.9	0.034836	0.032427	0.142857	0.142857		27	5	41	85.5926	0.074615	0.064808	0.170732	0.243902		27	7	11	98.7608	0.02343	0.022513	1	1		27	7	21	78.9406	0.046514	0.04282	0.333333	0.142857		27	7	41	112.589	0.10018	0.085323	0.317073	0.268293		27	9	11	82.4517	0.03113	0.029904	0.727273	0.454545		27	9	21	126.287	0.058353	0.053538	0.333333	0.0952381		27	9	41	85.5074	0.12432	0.105262	0.341463	0.195122
28	10	11	92.2478	0.033406	0.032005	1	0.272727		28	10	21	94.0653	0.066056	0.060491	1	0.285714		28	10	41	91.1571	0.142276	0.120367	1	0.365854		28	1	11	712.331	0.005825	0.005859	0.909091	0.909091		28	1	21	296.282	0.011941	0.012021	0.52381	0.52381		28	1	41	106.708	0.024387	0.024556	0.634146	0.634146		28	3	11	67.4289	0.012133	0.01186	0.909091	1		28	3	21	87.1233	0.024101	0.022981	0.809524	0.714286		28	3	41	103.269	0.050993	0.046041	0.195122	0.243902		28	5	11	93.7207	0.018061	0.017465	0.909091	0.545455		28	5	21	94.8498	0.036196	0.033704	0.190476	0.0952381		28	5	41	92.4485	0.077149	0.06701	0.170732	0.268293		28	7	11	101.694	0.024288	0.023378	1	1		28	7	21	84.6513	0.048593	0.044329	0.333333	0.047619		28	7	41	115.643	0.103295	0.088292	0.341463	0.317073		28	9	11	87.3551	0.032724	0.03122	0.727273	0.454545		28	9	21	130.764	0.060453	0.055477	0.333333	0.0952381		28	9	41	106.927	0.128949	0.109072	0.341463	0.243902
29	10	11	95.1757	0.034277	0.032859	1	0.272727		29	10	21	97.7277	0.068389	0.062615	1	0.238095		29	10	41	101.709	0.147401	0.124936	1	0.365854		29	1	11	773.934	0.00608	0.006116	0.909091	0.909091		29	1	21	300.997	0.012364	0.012421	0.52381	0.52381		29	1	41	110.89	0.025669	0.0258	0.634146	0.634146		29	3	11	69.0257	0.012427	0.012147	0.909091	1		29	3	21	92.3488	0.024649	0.023491	0.809524	0.714286		29	3	41	109.26	0.05231	0.047315	0.219512	0.292683		29	5	11	98.5394	0.018763	0.018148	0.909091	0.454545		29	5	21	98.1966	0.037355	0.034865	0.190476	0.0952381		29	5	41	105.162	0.079674	0.069331	0.195122	0.268293		29	7	11	105.607	0.025291	0.024337	1	1		29	7	21	90.426	0.049803	0.045923	0.380952	0.047619		29	7	41	120.974	0.106619	0.091242	0.341463	0.268293		29	9	11	92.4143	0.03303	0.031775	0.727273	0.454545		29	9	21	134.7	0.062534	0.057472	0.285714	0.047619		29	9	41	112.759	0.133054	0.112776	0.365854	0.195122
30	10	11	117.548	0.0356	0.034122	1	0.272727		30	10	21	103.321	0.071121	0.065213	1	0.238095		30	10	41	107.096	0.151883	0.128771	1	0.341463		30	1	11	835.317	0.006351	0.006392	0.909091	0.909091		30	1	21	362.452	0.012807	0.012868	0.52381	0.52381		30	1	41	113.871	0.02656	0.026698	0.658537	0.658537		30	3	11	70.1923	0.012988	0.012713	0.909091	0.909091		30	3	21	95.9277	0.025444	0.024269	0.809524	0.761905		30	3	41	113.445	0.05481	0.0496	0.219512	0.292683		30	5	11	112.314	0.019259	0.018654	0.909091	0.454545		30	5	21	105.377	0.038388	0.035866	0.190476	0.0952381		30	5	41	108.751	0.081863	0.071518	0.170732	0.317073		30	7	11	112.638	0.026128	0.025136	1	1		30	7	21	94.1071	0.051144	0.047264	0.428571	0.0952381		30	7	41	129.341	0.108804	0.093816	0.341463	0.292683		30	9	11	101.177	0.034611	0.033187	0.727273	0.454545		30	9	21	139.19	0.064178	0.058958	0.285714	0.142857		30	9	41	117.917	0.136537	0.116442	0.341463	0.243902
31	10	11	121.854	0.036559	0.035059	1	0.0909091		31	10	21	106.876	0.07297	0.06707	1	0.285714		31	10	41	113.37	0.156901	0.133489	1	0.414634		31	1	11	839.871	0.006399	0.006434	0.909091	0.909091		31	1	21	365.256	0.013126	0.013211	0.52381	0.52381		31	1	41	117.347	0.026896	0.027006	0.658537	0.658537		31	3	11	71.274	0.013395	0.013094	1	1		31	3	21	99.1019	0.026412	0.025216	0.809524	0.809524		31	3	41	116.272	0.055377	0.05041	0.243902	0.243902		31	5	11	114.76	0.019891	0.019282	0.909091	0.727273		31	5	21	109.488	0.039473	0.036995	0.190476	0.0952381		31	5	41	115.361	0.084401	0.073844	0.170732	0.268293		31	7	11	125.873	0.02664	0.025664	1	1		31	7	21	98.2127	0.052709	0.048758	0.428571	0.142857		31	7	41	144.438	0.112119	0.096965	0.341463	0.292683		31	9	11	103.695	0.035947	0.034466	0.727273	0.454545		31	9	21	142.541	0.066505	0.061187	0.285714	0.142857		31	9	41	125.485	0.140929	0.120279	0.365854	0.243902
32	10	11	125.93	0.037776	0.036237	1	0.181818		32	10	21	110.197	0.075059	0.069027	1	0.333333		32	10	41	121.082	0.161275	0.137503	1	0.390244		32	1	11	901.293	0.006588	0.006625	0.909091	0.909091		32	1	21	367.434	0.013558	0.013632	0.571429	0.571429		32	1	41	122.995	0.027672	0.027812	0.658537	0.658537		32	3	11	71.3258	0.013808	0.013517	1	1		32	3	21	112.352	0.027232	0.025958	0.952381	0.809524		32	3	41	126.371	0.057408	0.0521	0.243902	0.243902		32	5	11	120.412	0.020547	0.019907	0.909091	0.727273		32	5	21	114.222	0.041038	0.038396	0.190476	0.0952381		32	5	41	122.506	0.085951	0.075728	0.195122	0.268293		32	7	11	128.962	0.027636	0.026622	1	1		32	7	21	103.666	0.054403	0.050298	0.333333	0.0952381		32	7	41	149.986	0.116134	0.099935	0.341463	0.268293		32	9	11	109.719	0.036337	0.034979	0.727273	0.454545		32	9	21	156.462	0.068998	0.063651	0.333333	0.190476		32	9	41	131.605	0.145126	0.123897	0.390244	0.243902
33	10	11	131.625	0.038669	0.037192	1	0.181818		33	10	21	118.568	0.077097	0.07116	1	0.285714		33	10	41	125.598	0.165671	0.141802	1	0.463415		33	1	11	962.977	0.006805	0.006853	0.909091	0.909091		33	1	21	385.52	0.013974	0.014069	0.571429	0.571429		33	1	41	130.336	0.028471	0.028591	0.658537	0.658537		33	3	11	132.717	0.014234	0.01394	1	1		33	3	21	118.688	0.027941	0.026691	0.952381	0.857143		33	3	41	134.425	0.058812	0.053638	0.243902	0.243902		33	5	11	126.684	0.021123	0.020524	0.909091	0.727273		33	5	21	127.552	0.042052	0.039466	0.190476	0.142857		33	5	41	125.825	0.088692	0.078282	0.268293	0.317073		33	7	11	132.293	0.028757	0.027779	1	1		33	7	21	108.702	0.055801	0.051882	0.380952	0.0952381		33	7	41	158.269	0.11884	0.103161	0.365854	0.292683		33	9	11	112.902	0.037482	0.036168	0.727273	0.454545		33	9	21	162.045	0.070081	0.064904	0.238095	0.142857		33	9	41	142.663	0.149125	0.128255	0.439024	0.243902
34	10	11	135.236	0.039762	0.038244	1	0.272727		34	10	21	126.246	0.079384	0.073281	1	0.285714		34	10	41	128.758	0.17046	0.145878	1	0.463415		34	1	11	1024.45	0.007731	0.007748	0.909091	0.909091		34	1	21	386.563	0.014307	0.014391	0.571429	0.571429		34	1	41	133.974	0.029311	0.02947	0.658537	0.658537		34	3	11	194.127	0.014642	0.014335	1	0.909091		34	3	21	122.819	0.028742	0.027453	0.904762	0.857143		34	3	41	149.208	0.06041	0.0552	0.268293	0.292683		34	5	11	128.301	0.021729	0.021079	0.909091	0.727273		34	5	21	133.636	0.043087	0.040468	0.190476	0.285714		34	5	41	130.148	0.091102	0.080441	0.292683	0.292683		34	7	11	152.241	0.029198	0.028161	1	1		34	7	21	118.156	0.058803	0.054729	0.333333	0.0952381		34	7	41	162.441	0.123425	0.106599	0.341463	0.365854		34	9	11	158.491	0.03907	0.03753	0.727273	0.454545		34	9	21	169.712	0.07241	0.066936	0.238095	0.238095		34	9	41	146.447	0.153456	0.131778	0.463415	0.243902
35	10	11	143.87	0.041044	0.039522	1	0.181818		35	10	21	131.454	0.081685	0.075511	1	0.285714		35	10	41	136.705	0.174996	0.150122	1	0.439024		35	1	11	1086.14	0.007522	0.007573	0.909091	0.909091		35	1	21	394.281	0.014785	0.014857	0.571429	0.571429		35	1	41	136.188	0.030078	0.030217	0.658537	0.658537		35	3	11	255.539	0.01495	0.014625	1	1		35	3	21	126.579	0.029631	0.028313	0.904762	0.857143		35	3	41	170.93	0.062185	0.056691	0.268293	0.317073		35	5	11	134.681	0.022365	0.021678	0.909091	0.727273		35	5	21	137.588	0.044381	0.041614	0.190476	0.238095		35	5	41	135.728	0.093832	0.082901	0.292683	0.439024		35	7	11	161.018	0.030632	0.029589	1	1		35	7	21	126.309	0.059353	0.055244	0.333333	0.0952381		35	7	41	170.524	0.126373	0.109211	0.341463	0.341463		35	9	11	163.905	0.039588	0.038095	0.727273	0.454545		35	9	21	172.813	0.074288	0.068712	0.238095	0.190476		35	9	41	151.371	0.157645	0.135454	0.463415	0.268293
36	10	11	153.849	0.042006	0.040408	1	0.181818		36	10	21	137.82	0.083716	0.077424	1	0.285714		36	10	41	139.95	0.179272	0.154096	1	0.390244		36	1	11	1147.57	0.007594	0.007628	0.909091	0.909091		36	1	21	394.958	0.015117	0.015212	0.619048	0.619048		36	1	41	144.942	0.030887	0.031091	0.658537	0.658537		36	3	11	316.934	0.015411	0.015093	1	1		36	3	21	130.977	0.030355	0.029053	0.904762	0.904762		36	3	41	174.353	0.063822	0.058328	0.317073	0.341463		36	5	11	138.94	0.023047	0.022361	0.909091	0.727273		36	5	21	141.149	0.046138	0.043216	0.190476	0.238095		36	5	41	150.62	0.09846	0.085734	0.292683	0.390244		36	7	11	168.737	0.031195	0.030171	1	1		36	7	21	133.743	0.061235	0.057042	0.428571	0.0952381		36	7	41	173.539	0.129057	0.11219	0.365854	0.365854		36	9	11	169.695	0.04056	0.039065	0.727273	0.454545		36	9	21	211.141	0.076236	0.070634	0.238095	0.190476		36	9	41	154.623	0.162457	0.139353	0.487805	0.292683
37	10	11	158.181	0.043329	0.041729	1	0.181818		37	10	21	149.02	0.085985	0.079563	1	0.285714		37	10	41	154.345	0.184256	0.158519	1	0.439024		37	1	11	1208.91	0.008108	0.008156	0.909091	0.909091		37	1	21	395.42	0.015557	0.015646	0.619048	0.619048		37	1	41	146.517	0.031722	0.031926	0.658537	0.658537		37	3	11	327.266	0.015901	0.015584	1	1		37	3	21	136.724	0.031247	0.02987	0.952381	0.952381		37	3	41	179.659	0.065494	0.059865	0.292683	0.317073		37	5	11	145.991	0.023526	0.022831	1	0.909091		37	5	21	150.114	0.047057	0.044121	0.238095	0.238095		37	5	41	155.81	0.101043	0.088099	0.268293	0.390244		37	7	11	178.157	0.031693	0.03074	1	1		37	7	21	137.416	0.06279	0.058489	0.428571	0.0952381		37	7	41	193.979	0.133048	0.115987	0.341463	0.365854		37	9	11	177.701	0.042077	0.040576	0.818182	0.454545		37	9	21	231.541	0.078362	0.07264	0.285714	0.238095		37	9	41	163.247	0.167108	0.143463	0.487805	0.341463
38	10	11	219.597	0.044356	0.042671	1	0.181818		38	10	21	157.29	0.08818	0.08161	1	0.285714		38	10	41	159.811	0.189464	0.162849	1	0.536585		38	1	11	1270.24	0.008198	0.008241	0.909091	0.909091		38	1	21	456.848	0.015891	0.015978	0.619048	0.619048		38	1	41	148.273	0.032652	0.032828	0.658537	0.658537		38	3	11	388.67	0.016325	0.01597	1	1		38	3	21	140.577	0.032055	0.030695	1	1		38	3	41	188.953	0.068302	0.062477	0.292683	0.341463		38	5	11	150.069	0.0242	0.0235	1	0.909091		38	5	21	172.743	0.048275	0.04532	0.190476	0.238095		38	5	41	163.055	0.101411	0.089892	0.243902	0.365854		38	7	11	181.62	0.032753	0.031683	1	1		38	7	21	149.535	0.064653	0.060283	0.428571	0.047619		38	7	41	202.777	0.135749	0.118193	0.390244	0.414634		38	9	11	196.488	0.042514	0.040928	0.818182	0.454545		38	9	21	237.994	0.080293	0.074508	0.333333	0.285714		38	9	41	170.811	0.170234	0.147058	0.463415	0.341463
39	10	11	225.442	0.045502	0.04382	1	0.0909091		39	10	21	162.515	0.090547	0.083962	1	0.285714		39	10	41	166.319	0.194302	0.167266	1	0.536585		39	1	11	1331.8	0.008317	0.008342	0.909091	0.909091		39	1	21	456.992	0.016318	0.016406	0.619048	0.619048		39	1	41	150.5	0.03335	0.033495	0.658537	0.658537		39	3	11	390.292	0.016621	0.016284	1	1		39	3	21	145.658	0.032889	0.031462	1	1		39	3	41	196.415	0.069202	0.063282	0.317073	0.341463		39	5	11	171.097	0.024819	0.024108	1	0.909091		39	5	21	178.908	0.049513	0.046505	0.190476	0.142857		39	5	41	179.944	0.103722	0.092148	0.219512	0.390244		39	7	11	186.175	0.033565	0.032532	1	1		39	7	21	153.012	0.06853	0.063877	0.47619	0.047619		39	7	41	208.606	0.139037	0.121401	0.414634	0.414634		39	9	11	199.595	0.044659	0.042982	0.727273	0.454545		39	9	21	241.67	0.082291	0.076305	0.285714	0.285714		39	9	41	175.975	0.174675	0.151017	0.463415	0.292683
40	10	11	232.988	0.046827	0.045062	1	0.0909091		40	10	21	169.613	0.093029	0.086272	1	0.285714		40	10	41	176.53	0.199304	0.171547	1	0.512195		40	1	11	1393.4	0.0083	0.008332	0.909091	0.909091		40	1	21	457.044	0.016788	0.016884	0.619048	0.619048		40	1	41	150.553	0.034204	0.034296	0.658537	0.658537		40	3	11	451.697	0.017106	0.016783	1	1		40	3	21	151.497	0.033757	0.032321	1	1		40	3	41	201.005	0.070907	0.064736	0.292683	0.341463		40	5	11	173.646	0.025546	0.024782	1	0.909091		40	5	21	196.818	0.050675	0.047612	0.190476	0.190476		40	5	41	183.837	0.106365	0.094526	0.243902	0.414634		40	7	11	193.204	0.034459	0.033298	1	1		40	7	21	165.001	0.067354	0.062759	0.47619	0.047619		40	7	41	212.743	0.142783	0.124736	0.414634	0.463415		40	9	11	212.192	0.045337	0.043776	0.727273	0.454545		40	9	21	253.942	0.084616	0.078588	0.285714	0.238095		40	9	41	207.155	0.178682	0.154741	0.487805	0.341463
41	10	11	244.646	0.047816	0.046076	1	0.0909091		41	10	21	198.107	0.095027	0.088182	1	0.285714		41	10	41	183.851	0.203546	0.175846	1	0.609756		41	1	11	1455.3	0.008719	0.008764	0.909091	0.909091		41	1	21	460.403	0.017173	0.01727	0.619048	0.619048		41	1	41	150.807	0.03493	0.0351	0.658537	0.658537		41	3	11	513.1	0.017448	0.017086	1	1		41	3	21	153.771	0.034489	0.032989	1	1		41	3	41	229.224	0.0727	0.066569	0.317073	0.317073		41	5	11	176.993	0.026172	0.025438	1	1		41	5	21	206.921	0.051885	0.048816	0.190476	0.190476		41	5	41	189.177	0.108735	0.096697	0.292683	0.439024		41	7	11	202.365	0.035402	0.03424	1	1		41	7	21	176.724	0.069613	0.0649	0.47619	0.047619		41	7	41	216.07	0.14623	0.127787	0.463415	0.390244		41	9	11	233.719	0.046758	0.045052	0.727273	0.454545		41	9	21	274.633	0.086502	0.080416	0.333333	0.190476		41	9	41	211.707	0.183921	0.159355	0.487805	0.365854
42	10	11	249.492	0.048926	0.04719	1	0.0909091		42	10	21	206.513	0.097405	0.090357	1	0.285714		42	10	41	187.231	0.208128	0.18002	1	0.658537		42	1	11	1517.3	0.008883	0.008935	0.909091	0.909091		42	1	21	521.856	0.017482	0.017557	0.666667	0.666667		42	1	41	212.228	0.035716	0.035849	0.658537	0.658537		42	3	11	574.522	0.017912	0.017564	1	1		42	3	21	157.019	0.035296	0.033805	1	1		42	3	41	232.96	0.073715	0.067577	0.317073	0.317073		42	5	11	179.399	0.026623	0.025877	1	1		42	5	21	210.091	0.053235	0.049989	0.238095	0.238095		42	5	41	200.168	0.111812	0.099026	0.365854	0.414634		42	7	11	207.921	0.036013	0.034861	1	1		42	7	21	184.238	0.070696	0.065973	0.52381	0.047619		42	7	41	222.126	0.149304	0.130657	0.463415	0.390244		42	9	11	237.9	0.048241	0.04659	0.727273	0.454545		42	9	21	282.436	0.088979	0.082462	0.333333	0.190476		42	9	41	218.31	0.188513	0.163499	0.487805	0.317073
43	10	11	257.927	0.050106	0.048324	1	0.0909091		43	10	21	210.046	0.099472	0.0924	1	0.285714		43	10	41	194.239	0.213237	0.184535	1	0.609756		43	1	11	1579.55	0.009401	0.00945	0.909091	0.909091		43	1	21	523.381	0.017899	0.017991	0.666667	0.666667		43	1	41	212.9	0.036614	0.03679	0.658537	0.658537		43	3	11	591.255	0.018403	0.018044	1	1		43	3	21	174.944	0.036459	0.034922	1	1		43	3	41	241.361	0.075583	0.069375	0.341463	0.365854		43	5	11	182.281	0.027335	0.026582	1	0.909091		43	5	21	216.08	0.054428	0.051191	0.238095	0.238095		43	5	41	208.654	0.114378	0.101453	0.341463	0.414634		43	7	11	215.009	0.03665	0.035449	1	1		43	7	21	191.111	0.072658	0.06783	0.47619	0.047619		43	7	41	254.218	0.15287	0.134085	0.439024	0.463415		43	9	11	249.98	0.049232	0.047658	0.727273	0.454545		43	9	21	285.251	0.091314	0.084426	0.333333	0.142857		43	9	41	227.9	0.191576	0.166315	0.487805	0.341463
44	10	11	262.348	0.051604	0.049788	1	0.0909091		44	10	21	221.271	0.102143	0.094695	1	0.380952		44	10	41	210.473	0.217508	0.188422	1	0.658537		44	1	11	1641.84	0.009906	0.009951	0.909091	0.909091		44	1	21	528.152	0.018356	0.018451	0.619048	0.619048		44	1	41	213.806	0.03725	0.037401	0.658537	0.658537		44	3	11	652.665	0.018679	0.018328	1	1		44	3	21	179.431	0.037399	0.03584	1	1		44	3	41	245.702	0.077148	0.070924	0.365854	0.341463		44	5	11	196.463	0.028065	0.027293	1	1		44	5	21	219.884	0.055553	0.052361	0.238095	0.238095		44	5	41	226.894	0.117906	0.104754	0.414634	0.414634		44	7	11	222.303	0.038094	0.036873	1	1		44	7	21	196.878	0.074294	0.069408	0.47619	0.0952381		44	7	41	268.669	0.15622	0.137072	0.487805	0.463415		44	9	11	254.089	0.050712	0.048941	0.727273	0.454545		44	9	21	306.365	0.092703	0.08619	0.285714	0.190476		44	9	41	232.282	0.196045	0.170274	0.512195	0.390244
45	10	11	267.321	0.052538	0.050682	1	0		45	10	21	232.677	0.104236	0.096722	1	0.333333		45	10	41	216.757	0.221948	0.19248	1	0.560976		45	1	11	1704.2	0.009629	0.009688	0.909091	0.909091		45	1	21	589.584	0.018844	0.018924	0.619048	0.619048		45	1	41	226.349	0.038194	0.038399	0.658537	0.658537		45	3	11	655.747	0.019139	0.018761	1	1		45	3	21	186.695	0.037725	0.03616	1	1		45	3	41	278.559	0.078786	0.072561	0.365854	0.317073		45	5	11	234.862	0.028605	0.027805	1	1		45	5	21	231.875	0.056863	0.05358	0.238095	0.238095		45	5	41	230.399	0.119682	0.106262	0.390244	0.414634		45	7	11	224.441	0.038683	0.037499	1	1		45	7	21	203.483	0.075853	0.070944	0.47619	0.0952381		45	7	41	275.301	0.15956	0.140095	0.463415	0.463415		45	9	11	264.151	0.052389	0.050471	0.727273	0.454545		45	9	21	311.743	0.094905	0.08826	0.285714	0.190476		45	9	41	259.201	0.200251	0.17419	0.512195	0.341463
