k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	 personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
11	10	11	14.2807	0.013496	0.012675	1	0.272727		11	10	21	18.4081	0.028006	0.024568	1	0.142857		11	10	41	18.9918	0.06255	0.048927	1	0.097561		11	1	11	73.813	0.002498	0.002519	0.727273	0.727273		11	1	21	18.6577	0.005159	0.005207	0.47619	0.47619		11	1	41	29.3601	0.010947	0.011009	0.341463	0.341463		11	3	11	16.5164	0.00502	0.004855	0.909091	0.818182		11	3	21	20.0474	0.010247	0.009536	0.428571	0.47619		11	3	41	20.03	0.022308	0.019383	0.146341	0.121951		11	5	11	15.7721	0.007488	0.007151	0.272727	0.181818		11	5	21	18.3013	0.015342	0.013856	0.190476	0.047619		11	5	41	13.9845	0.03374	0.027862	0.0731707	0.097561		11	7	11	24.3029	0.010076	0.009535	0.636364	0.181818		11	7	21	19.2686	0.020227	0.017982	0.285714	0.190476		11	7	41	14.5546	0.045007	0.036034	0.195122	0.121951		11	9	11	14.0575	0.013454	0.012651	0.727273	0.454545		11	9	21	19.8085	0.025431	0.022456	0.047619	0.0952381		11	9	41	19.4592	0.056228	0.044273	0.097561	0.097561
12	10	11	15.588	0.014635	0.013779	1	0.272727		12	10	21	19.9453	0.03061	0.027023	1	0.142857		12	10	41	20.3308	0.067472	0.053239	1	0.097561		12	1	11	135.393	0.002688	0.002715	0.727273	0.727273		12	1	21	20.4592	0.005668	0.005709	0.47619	0.47619		12	1	41	33.0254	0.011701	0.011737	0.292683	0.292683		12	3	11	17.4835	0.005392	0.005227	0.909091	0.818182		12	3	21	21.8165	0.011043	0.01032	0.47619	0.47619		12	3	41	21.069	0.023911	0.020852	0.146341	0.121951		12	5	11	18.3232	0.0081	0.007724	0.272727	0.181818		12	5	21	21.5804	0.016448	0.014945	0.142857	0.0952381		12	5	41	16.5775	0.036114	0.029938	0.146341	0.146341		12	7	11	25.1755	0.010956	0.010371	0.727273	0.181818		12	7	21	25.9255	0.021885	0.019562	0.285714	0.190476		12	7	41	19.6368	0.048442	0.039127	0.170732	0.121951		12	9	11	15.2456	0.014515	0.013616	0.727273	0.454545		12	9	21	21.1126	0.027491	0.02442	0.0952381	0.047619		12	9	41	20.7884	0.060631	0.048167	0.121951	0.097561
13	10	11	20.45	0.015728	0.014835	1	0.0909091		13	10	21	22.7666	0.032355	0.028801	1	0.190476		13	10	41	22.3178	0.071899	0.057289	1	0.097561		13	1	11	196.762	0.003008	0.003035	0.818182	0.818182		13	1	21	23.5655	0.006068	0.006093	0.47619	0.47619		13	1	41	34.244	0.012466	0.012537	0.390244	0.390244		13	3	11	20.0147	0.005854	0.00567	1	0.818182		13	3	21	24.4099	0.011823	0.011062	0.47619	0.380952		13	3	41	25.915	0.025611	0.022433	0.170732	0.121951		13	5	11	19.7063	0.008681	0.008301	0.363636	0.181818		13	5	21	25.3474	0.018366	0.016783	0.142857	0.0952381		13	5	41	19.51	0.038901	0.032407	0.146341	0.170732		13	7	11	36.5871	0.011723	0.011073	0.818182	0.272727		13	7	21	27.9281	0.023979	0.021406	0.190476	0.190476		13	7	41	21.5887	0.051661	0.042033	0.219512	0.170732		13	9	11	19.5589	0.016055	0.01526	0.727273	0.454545		13	9	21	28.2352	0.029477	0.026299	0.142857	0.142857		13	9	41	22.5881	0.064644	0.05178	0.195122	0.121951
14	10	11	21.9446	0.016969	0.016056	1	0.0909091		14	10	21	24.5919	0.034351	0.030656	1	0.142857		14	10	41	26.1654	0.076605	0.061546	1	0.121951		14	1	11	200.307	0.00308	0.003104	0.818182	0.818182		14	1	21	25.2095	0.006461	0.006508	0.47619	0.47619		14	1	41	36.0303	0.013329	0.013478	0.365854	0.365854		14	3	11	24.4147	0.006251	0.006062	1	0.818182		14	3	21	25.6972	0.012626	0.01183	0.47619	0.47619		14	3	41	27.778	0.027183	0.023936	0.121951	0.097561		14	5	11	24.6379	0.009332	0.008962	0.454545	0.181818		14	5	21	27.4112	0.018864	0.017251	0.190476	0.047619		14	5	41	22.0407	0.041131	0.034573	0.121951	0.170732		14	7	11	37.6813	0.012415	0.011833	0.818182	0.272727		14	7	21	29.5676	0.025094	0.022609	0.285714	0.190476		14	7	41	23.8763	0.054987	0.045092	0.146341	0.170732		14	9	11	21.6462	0.015965	0.015147	0.727273	0.454545		14	9	21	29.7909	0.031402	0.028123	0.142857	0.142857		14	9	41	25.8468	0.068967	0.055746	0.195122	0.097561
15	10	11	23.8103	0.018062	0.017124	1	0.0909091		15	10	21	31.1796	0.03716	0.033256	1	0.190476		15	10	41	30.1466	0.08126	0.065843	1	0.146341		15	1	11	204.882	0.003309	0.00335	0.818182	0.818182		15	1	21	28.4334	0.006832	0.006883	0.47619	0.47619		15	1	41	38.9375	0.014158	0.01427	0.390244	0.390244		15	3	11	26.2883	0.006766	0.006571	1	0.818182		15	3	21	30.1677	0.01352	0.012709	0.428571	0.47619		15	3	41	30.199	0.028919	0.025632	0.146341	0.146341		15	5	11	28.4116	0.010001	0.009606	0.454545	0.181818		15	5	21	30.1247	0.020028	0.018377	0.142857	0.0952381		15	5	41	26.356	0.043746	0.036931	0.146341	0.170732		15	7	11	39.1394	0.013231	0.012602	0.727273	0.363636		15	7	21	32.4611	0.026723	0.02418	0.285714	0.190476		15	7	41	26.9277	0.058396	0.048201	0.170732	0.170732		15	9	11	23.5618	0.017376	0.016365	0.727273	0.454545		15	9	21	32.3232	0.033465	0.030064	0.190476	0.142857		15	9	41	31.1529	0.073019	0.059407	0.195122	0.121951
16	10	11	25.0576	0.019296	0.018267	1	0.272727		16	10	21	32.7904	0.039775	0.035627	1	0.190476		16	10	41	33.4866	0.086139	0.069846	1	0.146341		16	1	11	205.419	0.003571	0.003597	0.909091	0.909091		16	1	21	31.65	0.007192	0.007248	0.47619	0.47619		16	1	41	43.6378	0.014982	0.015078	0.414634	0.414634		16	3	11	27.5477	0.007139	0.006936	1	0.818182		16	3	21	32.6618	0.014352	0.013461	0.47619	0.47619		16	3	41	33.4481	0.031144	0.027414	0.146341	0.243902		16	5	11	29.3408	0.010648	0.010198	0.545455	0.181818		16	5	21	33.1248	0.021527	0.019687	0.142857	0.047619		16	5	41	28.6218	0.046901	0.039315	0.170732	0.195122		16	7	11	44.2764	0.014168	0.013474	0.727273	0.454545		16	7	21	34.187	0.028533	0.025671	0.238095	0.190476		16	7	41	31.7879	0.062159	0.051295	0.170732	0.170732		16	9	11	24.5813	0.01905	0.017998	0.727273	0.454545		16	9	21	36.0983	0.035859	0.032274	0.142857	0.0952381		16	9	41	34.4564	0.077683	0.063302	0.170732	0.097561
17	10	11	26.8472	0.020324	0.019312	1	0.272727		17	10	21	35.6266	0.041318	0.037327	1	0.238095		17	10	41	36.0016	0.09081	0.074108	1	0.146341		17	1	11	216.221	0.003713	0.003765	0.818182	0.818182		17	1	21	34.0908	0.007567	0.007617	0.428571	0.428571		17	1	41	50.9027	0.015681	0.015755	0.414634	0.414634		17	3	11	33.3678	0.007534	0.007335	1	0.818182		17	3	21	35.7402	0.015054	0.014191	0.428571	0.52381		17	3	41	43.3568	0.032336	0.02873	0.219512	0.243902		17	5	11	31.4966	0.011231	0.010825	0.454545	0.181818		17	5	21	34.6897	0.022556	0.020737	0.142857	0.142857		17	5	41	32.4677	0.048602	0.041468	0.170732	0.219512		17	7	11	47.0532	0.015081	0.01441	0.727273	0.545455		17	7	21	37.4196	0.029961	0.027238	0.238095	0.190476		17	7	41	35.8401	0.065571	0.054282	0.195122	0.146341		17	9	11	27.6949	0.020092	0.01903	0.636364	0.454545		17	9	21	38.138	0.037715	0.034055	0.142857	0.190476		17	9	41	37.0592	0.081743	0.067042	0.146341	0.121951
18	10	11	31.3628	0.021396	0.020362	1	0.181818		18	10	21	37.6904	0.043505	0.039276	1	0.190476		18	10	41	39.2353	0.095613	0.078484	1	0.195122		18	1	11	218.473	0.00386	0.00389	0.818182	0.818182		18	1	21	35.156	0.007936	0.008014	0.428571	0.428571		18	1	41	55.2877	0.016531	0.016627	0.439024	0.439024		18	3	11	36.6878	0.007908	0.007698	1	0.818182		18	3	21	40.1836	0.015831	0.014954	0.428571	0.571429		18	3	41	47.5966	0.033909	0.030268	0.195122	0.219512		18	5	11	33.7231	0.011912	0.011447	0.545455	0.181818		18	5	21	41.5556	0.023802	0.021938	0.142857	0.142857		18	5	41	35.674	0.051266	0.043755	0.195122	0.170732		18	7	11	50.0549	0.016015	0.015255	0.909091	0.909091		18	7	21	40.0519	0.031559	0.028775	0.333333	0.0952381		18	7	41	38.1245	0.068935	0.05749	0.195122	0.170732		18	9	11	30.9152	0.021211	0.020164	0.636364	0.454545		18	9	21	40.3117	0.039594	0.035854	0.190476	0.0952381		18	9	41	40.4776	0.08601	0.070867	0.219512	0.0731707
19	10	11	34.1763	0.022575	0.021504	1	0.181818		19	10	21	41.2379	0.045872	0.041462	1	0.190476		19	10	41	41.8711	0.100228	0.082649	1	0.195122		19	1	11	280.001	0.004056	0.004088	0.818182	0.818182		19	1	21	38.3393	0.008384	0.008429	0.47619	0.47619		19	1	41	57.4355	0.017324	0.017416	0.536585	0.536585		19	3	11	37.832	0.008317	0.008107	1	0.818182		19	3	21	44.274	0.016665	0.015738	0.571429	0.619048		19	3	41	50.5229	0.035512	0.031803	0.195122	0.268293		19	5	11	55.4059	0.012706	0.012221	0.454545	0.181818		19	5	21	44.1258	0.02502	0.023094	0.142857	0.190476		19	5	41	37.59	0.053687	0.045898	0.170732	0.219512		19	7	11	56.3285	0.016769	0.016039	1	1		19	7	21	47.2826	0.033516	0.030631	0.333333	0.0952381		19	7	41	45.2222	0.072649	0.060882	0.195122	0.195122		19	9	11	33.3339	0.02235	0.021264	0.636364	0.454545		19	9	21	42.7599	0.041769	0.03788	0.190476	0.0952381		19	9	41	43.757	0.09036	0.074883	0.268293	0.146341
20	10	11	41.2109	0.023908	0.022739	1	0.181818		20	10	21	45.3605	0.047853	0.043398	1	0.190476		20	10	41	44.5697	0.105108	0.086812	1	0.219512		20	1	11	280.053	0.004246	0.00428	0.818182	0.818182		20	1	21	38.3912	0.008796	0.00884	0.428571	0.428571		20	1	41	69.2594	0.018071	0.018233	0.609756	0.609756		20	3	11	39.4792	0.008713	0.008494	1	0.818182		20	3	21	46.2208	0.017591	0.016559	0.571429	0.47619		20	3	41	64.6171	0.037504	0.033435	0.195122	0.292683		20	5	11	59.5734	0.013164	0.01267	0.272727	0.181818		20	5	21	45.857	0.026242	0.024183	0.238095	0.238095		20	5	41	47.978	0.056467	0.048274	0.195122	0.195122		20	7	11	58.5838	0.017569	0.016794	1	1		20	7	21	50.0756	0.035074	0.032056	0.333333	0.142857		20	7	41	46.6407	0.075348	0.063327	0.195122	0.219512		20	9	11	36.6764	0.023476	0.022292	0.727273	0.454545		20	9	21	48.5214	0.043886	0.039889	0.0952381	0.0952381		20	9	41	48.6976	0.094655	0.078505	0.268293	0.170732
